epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_011,20.97002649307251,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.773560777034685,0.7172893136403128,0.6558593354500951,0.7416522752770495,0.8136359430801748,0.7424381301558204,0.39705047460960124,0.662294916318586,1.0,0.014492753623188406,0.02857142857142857
2,mobilenet_arch_evo_011,20.545900344848633,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.2665298297315137,0.9280625543006081,0.8848039576603065,0.9322366699854198,0.35313584314749724,0.9175068744271311,0.8543584529486312,0.9179251108827269,0.7210884353741497,0.7681159420289855,0.743859649122807
3,mobilenet_arch_evo_011,20.59533190727234,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.17026690728088548,0.9556907037358818,0.9240804962880116,0.957179159826982,0.2121874971825742,0.9303391384051329,0.8665666600314589,0.9314720850227676,0.8706896551724138,0.7318840579710145,0.7952755905511811
4,mobilenet_arch_evo_011,21.558815717697144,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.1309493539529609,0.9650738488271069,0.9395592894489176,0.9660119270012156,0.38700573401752686,0.8377635197066912,0.7399691482953165,0.8508560827891953,0.47470817120622566,0.8840579710144928,0.6177215189873417
5,mobilenet_arch_evo_011,21.18303680419922,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.10557949603199442,0.9725456125108601,0.951692945938668,0.9730995691210772,0.21676053997986258,0.9129239230064161,0.845460222746315,0.9168653322798421,0.7278911564625851,0.7753623188405797,0.7508771929824561
6,mobilenet_arch_evo_011,21.00857949256897,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.10083626450583999,0.9756733275412685,0.9560288294437416,0.9760408554157816,0.2025281113293278,0.923006416131989,0.8613516908710059,0.9261973412220398,0.7708333333333334,0.8043478260869565,0.7872340425531915
7,mobilenet_arch_evo_011,20.67090392112732,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.07944314059591832,0.9815812337098175,0.9676627646651309,0.9818294727244125,0.2340065022361978,0.9019248395967002,0.8301803501607885,0.9070460915943842,0.6707317073170732,0.7971014492753623,0.7284768211920529
8,mobilenet_arch_evo_011,20.76346468925476,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.07140672265994585,0.9817549956559514,0.9682220211410852,0.9820260853668861,0.2066755368195877,0.9156736938588451,0.8422734451351364,0.9190576427121814,0.7553956834532374,0.7608695652173914,0.7581227436823105
9,mobilenet_arch_evo_011,21.024080991744995,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.06542633453288563,0.9840139009556907,0.9711449762060521,0.9841908696361321,0.2056208089349141,0.918423464711274,0.8449848295970067,0.9217449476740245,0.7397260273972602,0.782608695652174,0.7605633802816901
10,mobilenet_arch_evo_011,20.703015565872192,224,0.0001,0.0003,1.2,low,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,929316,646948,2308,0.06541485647395007,0.9847089487402259,0.9731833483807175,0.9848376505932115,0.19180481804929175,0.921173235563703,0.8501533814987352,0.9232466135189336,0.7851851851851852,0.7681159420289855,0.7765567765567766
