epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_048,20.691308975219727,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.7887136912625525,0.6936576889661165,0.61835597702225,0.7198525578478516,0.5308320478328754,0.846012832263978,0.7267568157919154,0.8418534909537133,0.8048780487804879,0.4782608695652174,0.6
2,mobilenet_arch_evo_048,20.71206021308899,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.21315966719238785,0.9428323197219809,0.9025393423029427,0.9453800709403315,0.49530514790894214,0.8377635197066912,0.6935561717669122,0.8256992975064448,0.8070175438596491,0.3333333333333333,0.4717948717948718
3,mobilenet_arch_evo_048,20.710450172424316,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.13880437189255146,0.966637706342311,0.9414191423366872,0.9675627861702785,0.26261837597068133,0.8606782768102658,0.7921385581942262,0.8745683693389981,0.8924731182795699,0.6014492753623188,0.7186147186147186
4,mobilenet_arch_evo_048,20.706947088241577,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.0971423252277743,0.9739357080799305,0.9543024113233627,0.9745540931080283,0.36563843500838117,0.8597616865261228,0.7678766690325635,0.8618511105502382,0.7251908396946565,0.6884057971014492,0.7063197026022305
5,mobilenet_arch_evo_048,20.490560054779053,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.07962958972470642,0.9807124239791486,0.9648153629694284,0.9809678133837871,1.035265324998731,0.7131072410632447,0.6714553699325949,0.7486184001867429,0.4236111111111111,0.8840579710144928,0.5727699530516432
6,mobilenet_arch_evo_048,20.56722664833069,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.06610320399796103,0.9821025195482189,0.9677385501127941,0.9824034838189996,0.4303084776416557,0.84967919340055,0.7543787467540397,0.8513974026100808,0.797752808988764,0.5144927536231884,0.6255506607929515
7,mobilenet_arch_evo_048,20.746283054351807,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.061221258884714955,0.9857515204170286,0.9740337302530016,0.9859166369607504,0.7230135653917803,0.8203483043079743,0.7429159612911487,0.8317179401229224,0.502127659574468,0.855072463768116,0.6327077747989276
8,mobilenet_arch_evo_048,20.761016845703125,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.03898895848429172,0.9906168549087749,0.9829150964949431,0.990693962182018,0.25818587756304295,0.9138405132905592,0.8370661841483356,0.9168097935324,0.6716417910447762,0.9782608695652174,0.7964601769911505
9,mobilenet_arch_evo_048,20.572532653808594,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.03656956777041317,0.9907906168549088,0.9832033821365941,0.9908498985045299,0.5039317854227391,0.84967919340055,0.7427356127173187,0.8558130764240348,0.5537190082644629,0.9710144927536232,0.7052631578947368
10,mobilenet_arch_evo_048,20.851439476013184,224,0.0001,0.0003,1.2,low,mlp_2,128,1.0,0.3,hardswish,avg_max,none,full,1091620,1091620,164612,0.03155334721449649,0.993223284100782,0.9877634370561845,0.9932516936624131,0.24436379990294455,0.9092575618698442,0.8567922925263478,0.9144546705618017,0.7908496732026143,0.8768115942028986,0.8316151202749141
