epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_032,20.624143600463867,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.7617048658048661,0.71624674196351,0.6528147320754694,0.7462219681980615,0.7508212202301165,0.6837763519706691,0.25131626397403534,0.5776683613505421,1.0,0.021739130434782608,0.0425531914893617
2,mobilenet_arch_evo_032,21.058269023895264,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.2193242835905322,0.9364031277150304,0.8956209496363114,0.9398307235477609,0.2991049031972011,0.8982584784601283,0.7906455125887915,0.899162627156083,0.6524390243902439,0.7753623188405797,0.7086092715231788
3,mobilenet_arch_evo_032,20.316643714904785,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.14353491605415641,0.9593397046046915,0.9306344477941553,0.9605020636203919,0.20277892497724978,0.923006416131989,0.8532069105932063,0.9268840722914349,0.8045112781954887,0.7753623188405797,0.7896678966789668
4,mobilenet_arch_evo_032,20.550774335861206,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.11230257956438951,0.9682015638575152,0.9450884895525198,0.9689893392822202,0.2575789206536119,0.8964252978918423,0.7895176940874178,0.8982112029809928,0.6444444444444445,0.8405797101449275,0.7295597484276729
5,mobilenet_arch_evo_032,20.789470195770264,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.10906997568303352,0.9695916594265855,0.945679990123139,0.9703475059054123,0.22058550898778662,0.9046746104491292,0.8055404424632444,0.9079620562077556,0.6611111111111111,0.8623188405797102,0.7484276729559748
6,mobilenet_arch_evo_032,20.48803210258484,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.08429639153862185,0.9775847089487403,0.9591905510873092,0.9779139347069576,0.2267181011167373,0.9046746104491292,0.8137536356108777,0.9093117026468973,0.6829268292682927,0.8115942028985508,0.7417218543046358
7,mobilenet_arch_evo_032,20.673409938812256,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.07976521300499875,0.9779322328410078,0.9611216764694855,0.9782883485730817,0.22004577622645047,0.9138405132905592,0.8265443761750946,0.9166303600425817,0.7207792207792207,0.8043478260869565,0.7602739726027398
8,mobilenet_arch_evo_032,20.663217306137085,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.05966645914779654,0.9836663770634231,0.9712679421357083,0.9839193456924491,0.259081479782845,0.8945921173235564,0.7818999920850153,0.8977923067710265,0.6290322580645161,0.8478260869565217,0.7222222222222222
9,mobilenet_arch_evo_032,20.879721641540527,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.05231924575310909,0.9854039965247611,0.9744489732427198,0.985504506158193,0.2265576024775352,0.9065077910174152,0.8116001320033158,0.9100264781214833,0.6826347305389222,0.8260869565217391,0.7475409836065574
10,mobilenet_arch_evo_032,20.67580795288086,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,1075748,793380,148740,0.05295544095680467,0.9848827106863597,0.9728479851851777,0.9850118158310263,0.2145272921314113,0.9138405132905592,0.8368718308676473,0.9186710191104458,0.7449664429530202,0.8043478260869565,0.7735191637630662
