run_name,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,best_epoch,best_val_macro_f1,best_val_accuracy,best_val_weighted_f1,best_val_active_brazing_precision,best_val_active_brazing_recall,best_val_active_brazing_f1,num_params,num_trainable_params,num_classifier_params,checkpoint,fitness,stage
mobilenet_arch_final_03,mlp_2,256,1.0,0.1,hardswish,avg,none,full,29,0.9335009378798409,0.9642529789184234,0.9654426534733009,0.9191176470588235,0.9057971014492754,0.9124087591240876,1141540,1141540,214532,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_final_03_best.pt,0.9176724598507424,final_retrain
mobilenet_arch_final_05,mlp_1,128,0.5,0.2,hardswish,avg,none,last_blocks,22,0.9055640593898364,0.9486709440879927,0.9502982425792362,0.9504132231404959,0.8333333333333334,0.888030888030888,1001380,719012,74372,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_final_05_best.pt,0.8871054005057291,final_retrain
mobilenet_arch_final_04,mlp_1,256,1.0,0.1,hardswish,avg,none,full,9,0.8962934199944048,0.9532538955087076,0.9518249528666883,0.8656716417910447,0.8405797101449275,0.8529411764705882,1075748,1075748,148740,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_final_04_best.pt,0.8697882782836472,final_retrain
mobilenet_arch_final_02,mlp_1,256,1.0,0.1,hardswish,avg,batchnorm,full,6,0.8720034935855685,0.9349220898258478,0.937060051254822,0.856,0.7753623188405797,0.8136882129277566,1076260,1076260,149252,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_final_02_best.pt,0.8341119291435861,final_retrain
mobilenet_arch_final_01,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,25,0.8389548072836581,0.9156736938588451,0.9180146564774063,0.7167630057803468,0.8985507246376812,0.797427652733119,1255588,1255588,328580,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_final_01_best.pt,0.8267880907940729,final_retrain
