epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_005,20.727028846740723,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.706881608399073,0.736750651607298,0.662686624994585,0.7580253443035534,0.7947171655518543,0.6214482126489459,0.38351243826065756,0.6489111755016567,0.33181818181818185,0.5289855072463768,0.40782122905027934
2,mobilenet_arch_evo_005,20.834001302719116,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.2497980386769637,0.9258036490008688,0.8798277507050194,0.9296791505604177,0.38202897513901607,0.8625114573785518,0.7311000972630219,0.8661247046062465,0.5117370892018779,0.7898550724637681,0.6210826210826211
3,mobilenet_arch_evo_005,21.236376523971558,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.1492772832111521,0.9530842745438749,0.922082238135932,0.9547641115625571,0.31422498753451417,0.8689275893675527,0.7442723727422004,0.8750992546370088,0.5283018867924528,0.8115942028985508,0.64
4,mobilenet_arch_evo_005,20.640913486480713,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.12485332822509686,0.9640312771503041,0.9380349229963958,0.9650212032222442,0.568582750716239,0.8038496791934006,0.6324986632204878,0.8100534436611171,0.4166666666666667,0.9420289855072463,0.5777777777777777
5,mobilenet_arch_evo_005,20.630461931228638,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.08704657819830884,0.9716768027801911,0.9519611546920195,0.9723266465096162,0.333846305380362,0.8551787351054079,0.7569370365617131,0.8652023652619253,0.5492957746478874,0.8478260869565217,0.6666666666666666
6,mobilenet_arch_evo_005,20.29696536064148,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.0891209372210047,0.9720243266724587,0.9523227727650873,0.9727606321366059,0.3536997157018623,0.8505957836846929,0.7610216590580382,0.8617979244659925,0.5613207547169812,0.8623188405797102,0.68
7,mobilenet_arch_evo_005,20.507091760635376,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.085514782999944,0.976020851433536,0.9584460187141706,0.9764741684990467,0.37784470368619955,0.8350137488542622,0.7544926008979124,0.849493779518823,0.61875,0.717391304347826,0.6644295302013423
8,mobilenet_arch_evo_005,20.68259859085083,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.057489184090798055,0.9827975673327541,0.9693530278495203,0.9830314336194033,0.3351052658926157,0.8625114573785518,0.7683631493066998,0.8720924840017786,0.5294117647058824,0.9130434782608695,0.6702127659574468
9,mobilenet_arch_evo_005,20.574450254440308,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.056277183851115506,0.9841876629018245,0.9713750088389447,0.9843844393374247,0.24493695160800438,0.8945921173235564,0.8047312165881391,0.8991620431831148,0.6666666666666666,0.7391304347826086,0.7010309278350515
10,mobilenet_arch_evo_005,20.403139114379883,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.2,relu,avg_max,none,last_blocks,1223204,940836,296196,0.0467039445146504,0.9874891398783666,0.9780920306043811,0.9876102718089942,0.3185618929429137,0.8579285059578369,0.7826363832634773,0.8701359081973964,0.6611111111111111,0.8623188405797102,0.7484276729559748
