epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_075,20.5530264377594,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.7860311549373754,0.7900955690703736,0.6988517974993288,0.8063477160987119,0.7620265071923092,0.7186067827681026,0.347597511775082,0.6213606385524787,1.0,0.007246376811594203,0.014388489208633094
2,mobilenet_arch_evo_075,20.57113265991211,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.17482309763997042,0.9523892267593397,0.9189692752969895,0.9543093284125211,0.2025451040105411,0.9349220898258478,0.8461146530242478,0.9285323953408174,0.7784810126582279,0.8913043478260869,0.831081081081081
3,mobilenet_arch_evo_075,20.722432374954224,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.09957135015601805,0.9753258036490009,0.9554078531882937,0.9757880559049228,0.2256749944486523,0.9303391384051329,0.8406423377281147,0.9282967570992335,0.738562091503268,0.8188405797101449,0.7766323024054983
4,mobilenet_arch_evo_075,20.22785520553589,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.07541769195920897,0.9810599478714161,0.9664094852519695,0.9813093327815439,0.4875140069837927,0.8982584784601283,0.7956518924821615,0.8998583793733721,0.6687116564417178,0.7898550724637681,0.7242524916943521
5,mobilenet_arch_evo_075,20.724331617355347,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.06896576874676628,0.9824500434404866,0.96893895173687,0.9826935591504989,0.3229314551614464,0.9266727772685609,0.8230426377856459,0.9220355234925031,0.6785714285714286,0.9637681159420289,0.7964071856287425
6,mobilenet_arch_evo_075,20.677351236343384,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.04926727901121438,0.9859252823631625,0.9748781209742576,0.9860788312072605,0.5233501998236442,0.8625114573785518,0.7102034179748051,0.8592660648569007,0.5798319327731093,1.0,0.7340425531914894
7,mobilenet_arch_evo_075,20.50638723373413,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.036107398893726224,0.9906168549087749,0.9827306042637267,0.9906838335661229,0.31366608742672325,0.9312557286892759,0.8356670539481479,0.9277148675483947,0.6878306878306878,0.9420289855072463,0.7951070336391437
8,mobilenet_arch_evo_075,20.32808518409729,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.03352332395884968,0.9925282363162468,0.9860944111327831,0.992573414829534,0.2764495982516192,0.9312557286892759,0.8427305522919613,0.9302573225495736,0.6902173913043478,0.9202898550724637,0.7888198757763976
9,mobilenet_arch_evo_075,20.371105432510376,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.027169857166956732,0.9920069504778454,0.9860805097273573,0.9920606440076684,0.3878124921043138,0.9358386801099908,0.8464774226246636,0.9326936322095113,0.711864406779661,0.9130434782608695,0.8
10,mobilenet_arch_evo_075,20.564563989639282,224,0.0001,0.0003,1.2,low,mlp_2,128,0.5,0.1,hardswish,avg,none,full,1009380,1009380,82372,0.030461069443412803,0.9916594265855777,0.9853986937813948,0.9917119798387568,0.44507744006716965,0.9046746104491292,0.7820156870295173,0.9008508683906302,0.6208530805687204,0.9492753623188406,0.7507163323782235
