epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_065,20.49890375137329,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.5769703355848427,0.8114682884448305,0.7502112370185339,0.824913558661113,0.4933896085518855,0.8304307974335472,0.6441202904315091,0.8170872821281921,0.864406779661017,0.3695652173913043,0.5177664974619289
2,mobilenet_arch_evo_065,21.121389627456665,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.23442426123223442,0.9325803649000869,0.8957681180344808,0.936551236960493,0.31630176677275534,0.8982584784601283,0.7921171075373994,0.9015345393895299,0.6838235294117647,0.6739130434782609,0.6788321167883211
3,mobilenet_arch_evo_065,20.781917572021484,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.17030203922689738,0.9586446568201564,0.931244715941184,0.9602515194200533,0.2947498070439759,0.8890925756186985,0.7825778015773105,0.8937039956340611,0.6075268817204301,0.8188405797101449,0.6975308641975309
4,mobilenet_arch_evo_065,20.74207305908203,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.12192846848609186,0.9728931364031277,0.9533327161540941,0.9734589648121155,0.25831448538766666,0.9266727772685609,0.86434998884259,0.9299150758348853,0.8134328358208955,0.7898550724637681,0.8014705882352942
5,mobilenet_arch_evo_065,20.667316198349,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.10440669937640247,0.9765421372719374,0.958849904594411,0.9770312157486926,0.25760435595712344,0.9028414298808433,0.802249327379668,0.905698122617601,0.6313131313131313,0.9057971014492754,0.7440476190476191
6,mobilenet_arch_evo_065,20.54040837287903,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.09476272459267326,0.9798436142484795,0.9637731014502329,0.980105923131016,0.2883300026204338,0.9000916590284143,0.8090175740435163,0.9048531636410481,0.6353591160220995,0.8333333333333334,0.7210031347962382
7,mobilenet_arch_evo_065,20.571537971496582,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.08815044757079084,0.9798436142484795,0.9650201772478383,0.9801650405222407,0.2684469686856956,0.8964252978918423,0.803253879481485,0.9011196224622333,0.6296296296296297,0.8623188405797102,0.72782874617737
8,mobilenet_arch_evo_065,20.515856742858887,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.07907653122648377,0.982971329278888,0.9682346359390486,0.9831610307867632,0.23111554455117936,0.923006416131989,0.8659312759582545,0.9269970100720715,0.7857142857142857,0.7971014492753623,0.7913669064748201
9,mobilenet_arch_evo_065,21.00173568725586,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.06920685439777571,0.9836663770634231,0.970883422852123,0.983859715432765,0.1937969704068972,0.9330889092575618,0.8756467114042796,0.9357919904930568,0.782051282051282,0.8840579710144928,0.8299319727891157
10,mobilenet_arch_evo_065,20.441880702972412,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.3,hardswish,avg,batchnorm,last_blocks,1076260,793892,149252,0.06080998865212698,0.9873153779322329,0.9766452569820464,0.9874066339318419,0.29147553607124893,0.8845096241979835,0.7969401009016259,0.8922113968227517,0.6623376623376623,0.7391304347826086,0.6986301369863014
