epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_final_01,20.46377968788147,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.5686142242519261,0.7944396177237185,0.7184918252068696,0.8103892772477248,0.5108863160929256,0.8111824014665444,0.691002367326449,0.8304712718361859,0.3898305084745763,0.8333333333333334,0.5311778290993071
2,mobilenet_arch_final_01,21.06782579421997,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.1620811512358778,0.9532580364900087,0.920327790950808,0.954888307967754,0.34064911349183996,0.8643446379468378,0.7763533050126958,0.8735200327197182,0.5136363636363637,0.8188405797101449,0.6312849162011173
3,mobilenet_arch_final_01,20.823958158493042,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.1052469588965048,0.9711555169417897,0.9506051158129208,0.9719201796703156,0.3513856485043631,0.8533455545371219,0.7933256174158188,0.8662718990593223,0.5367965367965368,0.8985507246376812,0.6720867208672087
4,mobilenet_arch_final_01,21.001056909561157,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.09493819491486255,0.9768896611642051,0.9585480650313746,0.9773006308017199,0.2679007032880919,0.8964252978918423,0.8100972840710058,0.8977206320981047,0.6476683937823834,0.9057971014492754,0.7552870090634441
5,mobilenet_arch_final_01,20.9061119556427,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.08232455170485996,0.9770634231103389,0.9594616507484275,0.9774426548306098,0.3514936625879114,0.9037580201649863,0.8101450871828876,0.9018231663339883,0.6372093023255814,0.9927536231884058,0.7762039660056658
6,mobilenet_arch_final_01,21.092095851898193,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.05323792191143014,0.9860990443092963,0.9755625877673725,0.9862529319672366,0.4691822016042957,0.846929422548121,0.7673899831399125,0.8575355958607034,0.5258964143426295,0.9565217391304348,0.6786632390745502
7,mobilenet_arch_final_01,21.05133891105652,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.06032934439579732,0.9817549956559514,0.9679847923502354,0.9820366231344219,0.43497738063791025,0.8634280476626948,0.7873615961006838,0.8740370354218869,0.5136186770428015,0.9565217391304348,0.6683544303797468
8,mobilenet_arch_final_01,20.93818187713623,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.039657451558395326,0.9887054735013032,0.9794987275649083,0.9888481898857832,0.8524504831269055,0.7846012832263978,0.7144136694460521,0.7979521406118417,0.5609756097560976,1.0,0.71875
9,mobilenet_arch_final_01,21.32367253303528,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.034541987103137384,0.9930495221546481,0.9870398255877607,0.993090644592416,0.26937011958608165,0.9074243813015582,0.8251136747195523,0.9093363849463868,0.6683937823834197,0.9347826086956522,0.7794561933534743
10,mobilenet_arch_final_01,20.64279842376709,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.028778894781883477,0.9921807124239791,0.9853301600411697,0.9922008196197573,0.6963467454466871,0.8047662694775435,0.7198012182901841,0.8184994139717858,0.4910394265232975,0.9927536231884058,0.657074340527578
11,mobilenet_arch_final_01,20.887093782424927,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.02541886685475979,0.9921807124239791,0.98608074973589,0.9922219646125606,0.5908466078264266,0.8340971585701191,0.7429540378330569,0.8489866089652405,0.4673913043478261,0.9347826086956522,0.6231884057971014
12,mobilenet_arch_final_01,20.464449644088745,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.019615022416633564,0.9949609035621199,0.9905349887615152,0.9949849738974321,0.4286607193767853,0.8918423464711274,0.8043126774619774,0.8945263376501539,0.6175115207373272,0.9710144927536232,0.7549295774647887
13,mobilenet_arch_final_01,20.87727117538452,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.0297122716823986,0.9923544743701129,0.9859917560540519,0.9923880264465574,0.258980474610468,0.8955087076076994,0.8153430217898784,0.9000347837039916,0.6203703703703703,0.9710144927536232,0.7570621468926554
14,mobilenet_arch_final_01,20.700060606002808,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.013835322076809162,0.9954821894005212,0.9918199423896708,0.9954981474247513,0.19870426272361885,0.9138405132905592,0.8381055954661194,0.9170362452918234,0.679144385026738,0.9202898550724637,0.7815384615384615
15,mobilenet_arch_final_01,20.98827314376831,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.01689057734828899,0.9954821894005212,0.9919082388013833,0.995494494729128,0.242465044543013,0.9037580201649863,0.8217749974214306,0.9069212659108012,0.6736842105263158,0.927536231884058,0.7804878048780488
16,mobilenet_arch_final_01,21.03018617630005,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.011600977092391473,0.9968722849695917,0.9943787848340178,0.9968822984211878,0.3354833993688372,0.8854262144821264,0.7910210499845249,0.8903510489725378,0.5844155844155844,0.9782608695652174,0.7317073170731707
17,mobilenet_arch_final_01,21.19941210746765,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.012148829755558593,0.9975673327541269,0.9957113209175913,0.9975702270615971,0.3391046155241336,0.8826764436296975,0.7823324899965907,0.8879101138586014,0.5654008438818565,0.9710144927536232,0.7146666666666667
18,mobilenet_arch_final_01,21.064608573913574,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.012059982058929553,0.9963509991311903,0.9936833735303262,0.9963567929877001,0.242349474520327,0.918423464711274,0.8338761067671188,0.9205005208259471,0.6564102564102564,0.927536231884058,0.7687687687687688
19,mobilenet_arch_final_01,20.88563299179077,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.010021247821079193,0.9980886185925283,0.9964249524587367,0.9980902595625425,0.29856291512635225,0.9101741521539871,0.8292640525439992,0.9116762969740844,0.67,0.9710144927536232,0.7928994082840237
20,mobilenet_arch_final_01,20.951045036315918,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.008969764017619737,0.9977410947002606,0.9961232987707178,0.9977446680369324,0.3128449611292898,0.9065077910174152,0.8205063708799863,0.9076708890836925,0.6553398058252428,0.9782608695652174,0.7848837209302325
21,mobilenet_arch_final_01,20.837998390197754,224,0.0001,0.0003,1.2,low,mlp_2,256,0.5,0.1,hardswish,avg_max,none,full,1255588,1255588,328580,0.006604820485514055,0.9984361424847958,0.9971819015874656,0.9984388265267728,0.3882342117005892,0.8964252978918423,0.8003373503373503,0.8982381240859701,0.6126126126126126,0.9855072463768116,0.7555555555555555
