epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_041,20.43750548362732,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.6869163438871982,0.7235447437011294,0.6730682540928283,0.7533770567577602,0.7093806134572715,0.694775435380385,0.2917683144722054,0.5945117267810508,1.0,0.050724637681159424,0.09655172413793103
2,mobilenet_arch_evo_041,20.613728523254395,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.16681990944606445,0.9551694178974804,0.92452199547234,0.9567973006298153,0.27718447464988605,0.9120073327222732,0.8039992429546094,0.911479771440009,0.6467065868263473,0.782608695652174,0.7081967213114754
3,mobilenet_arch_evo_041,20.820910453796387,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.10177168163602814,0.9711555169417897,0.950050036745434,0.9720053373632314,0.23054352609182885,0.9156736938588451,0.8320524259349966,0.9175250711085495,0.7207792207792207,0.8043478260869565,0.7602739726027398
4,mobilenet_arch_evo_041,20.811214923858643,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.08260069542040936,0.9810599478714161,0.9646433608892899,0.9812495342004508,0.37235390135760593,0.8698441796516957,0.7033783247445008,0.8642666957916164,0.5092936802973977,0.9927536231884058,0.6732186732186732
5,mobilenet_arch_evo_041,20.425457239151,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.05559379645618412,0.9867940920938314,0.97665363490134,0.9869046510089917,0.30720159148167403,0.9065077910174152,0.7835477104325708,0.9037139147625382,0.6142131979695431,0.8768115942028986,0.7223880597014926
6,mobilenet_arch_evo_041,20.41248917579651,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.04682658526311741,0.9890529973935708,0.9807112081653353,0.9891273478998167,0.4349174609281444,0.8955087076076994,0.7499586490547606,0.8836489161978358,0.5877192982456141,0.9710144927536232,0.73224043715847
7,mobilenet_arch_evo_041,20.505364894866943,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.05230548420967898,0.9859252823631625,0.9743957260796039,0.986044110989038,0.2691328204061928,0.9147571035747021,0.823579208058512,0.9145354835643684,0.6666666666666666,0.8115942028985508,0.7320261437908496
8,mobilenet_arch_evo_041,20.682515382766724,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.040206910050648074,0.9904430929626412,0.9819064262399552,0.9904999475793502,0.29854963266465295,0.9092575618698442,0.7965261972275273,0.9045120979763307,0.6284403669724771,0.9927536231884058,0.7696629213483146
9,mobilenet_arch_evo_041,20.505717992782593,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.03429617639291193,0.9921807124239791,0.9856120311231236,0.9922135459245315,0.33379017008493267,0.916590284142988,0.8095423195878595,0.9107301864614586,0.645933014354067,0.9782608695652174,0.7780979827089337
10,mobilenet_arch_evo_041,20.483007431030273,224,0.0001,0.0003,1.2,low,mlp_1,128,1.0,0.1,hardswish,avg,none,full,1001380,1001380,74372,0.02257669796869013,0.9944396177237185,0.9897313548820904,0.9944732031952592,0.42276274531654584,0.8927589367552704,0.7704691066915694,0.8874212114978715,0.5973451327433629,0.9782608695652174,0.7417582417582418
