epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_051,20.499332666397095,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.44716079229380545,0.8423979148566464,0.7868753619526658,0.8534144345556374,0.47050299065906337,0.8075160403299725,0.5851401700603411,0.7880035285599511,0.75,0.30434782608695654,0.4329896907216495
2,mobilenet_arch_evo_051,20.456143379211426,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.1353905224740557,0.9650738488271069,0.9397146240253873,0.966058405264775,0.24001293126101017,0.9266727772685609,0.8514917920962222,0.9282356659465478,0.6936416184971098,0.8695652173913043,0.7717041800643086
3,mobilenet_arch_evo_051,21.403001308441162,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.08295281747441827,0.9801911381407472,0.9652963012136802,0.9804455325408697,0.2972809850869104,0.8790100824931256,0.7671354598484117,0.8859947745094615,0.5497382198952879,0.7608695652173914,0.6382978723404256
4,mobilenet_arch_evo_051,21.24209427833557,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.06467818246683435,0.9827975673327541,0.969463893788177,0.9830452114352229,0.34667537380334273,0.8670944087992667,0.7802713085513524,0.876323087283914,0.6280487804878049,0.7463768115942029,0.6821192052980133
5,mobilenet_arch_evo_051,21.030465602874756,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.06653882815372313,0.9847089487402259,0.972542452321774,0.9848371143939084,0.2193033886846329,0.921173235563703,0.850381725849151,0.9237138555327556,0.8947368421052632,0.6159420289855072,0.7296137339055794
6,mobilenet_arch_evo_051,21.38050103187561,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.052157779775890034,0.9900955690703735,0.9822108743121718,0.990170629067795,0.27579390969875206,0.8845096241979835,0.7917700683492824,0.8899219562127019,0.579185520361991,0.927536231884058,0.713091922005571
7,mobilenet_arch_evo_051,21.29940152168274,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.03621066003604157,0.9911381407471763,0.9843214163473204,0.9912038333961786,0.2501475872074132,0.8973418881759854,0.8212467526102567,0.9032306478711437,0.6157635467980296,0.9057971014492754,0.7331378299120235
8,mobilenet_arch_evo_051,21.229869842529297,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.02926250986567173,0.9940920938314509,0.9895930006225786,0.9941138709918967,0.25132242675211647,0.9074243813015582,0.8439986520946041,0.9127992299834428,0.6512820512820513,0.9202898550724637,0.7627627627627628
9,mobilenet_arch_evo_051,21.39429783821106,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.027036254374443073,0.9939183318853171,0.9888518569905699,0.9939558103492971,0.2696216642808794,0.8826764436296975,0.7877549824926975,0.8896834082143914,0.5688073394495413,0.8985507246376812,0.6966292134831461
10,mobilenet_arch_evo_051,21.379429578781128,224,0.0001,0.0003,1.2,low,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,1520420,1520420,593412,0.022526622264379785,0.9947871416159861,0.99107127655643,0.9948103448617435,0.3040702760110308,0.8735105407882676,0.7646071946007142,0.880134716184777,0.532520325203252,0.9492753623188406,0.6822916666666666
