epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_final_03,20.634404182434082,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.6822817559570048,0.771850564726325,0.6917903502818945,0.7894588075555146,0.5243521900480489,0.7928505957836847,0.5561311124812185,0.763492211841479,0.5384615384615384,0.35507246376811596,0.4279475982532751
2,mobilenet_arch_final_03,20.81058979034424,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.17560488591884965,0.9520417028670721,0.9170296529127154,0.9539449045580876,0.2245784753559654,0.9037580201649863,0.7985648892661088,0.8975581563328316,0.9871794871794872,0.5579710144927537,0.7129629629629629
3,mobilenet_arch_final_03,21.017209768295288,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.10240235341879515,0.9728931364031277,0.9533528542980647,0.9735405555176916,0.14820182745538713,0.9486709440879927,0.9047378003624423,0.9507189176920708,0.956140350877193,0.7898550724637681,0.8650793650793651
4,mobilenet_arch_final_03,20.70053720474243,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.08653671058504919,0.9761946133796698,0.958490773387807,0.9767304942962647,0.13880388345654737,0.9413382218148487,0.8800774872224725,0.9402364941226777,0.8380281690140845,0.8623188405797102,0.85
5,mobilenet_arch_final_03,20.65300440788269,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.06954662857397576,0.9801911381407472,0.964355731691217,0.98053264879086,0.23823609876796295,0.9110907424381302,0.7592781937809305,0.8956415647272044,0.6350710900473934,0.9710144927536232,0.7679083094555874
6,mobilenet_arch_final_03,20.615433931350708,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.04497649194874989,0.98627280625543,0.9746962076468567,0.9864235018019668,0.10407297986675147,0.9477543538038496,0.8991664417377044,0.9488192972294369,0.8823529411764706,0.8695652173913043,0.8759124087591241
7,mobilenet_arch_final_03,20.8606059551239,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.04268271958287142,0.9887054735013032,0.9790766849031703,0.9887930430946578,0.22420145671792488,0.9046746104491292,0.7690289923262381,0.8976718711693356,0.6160714285714286,1.0,0.7624309392265194
8,mobilenet_arch_final_03,20.74539566040039,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.04186653205186297,0.9909643788010426,0.9826460739356144,0.9910040184664491,0.12457560436197003,0.9266727772685609,0.8433832258752536,0.926635299116912,0.7119565217391305,0.9492753623188406,0.8136645962732919
9,mobilenet_arch_final_03,20.67711615562439,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.03140407947339538,0.9927019982623806,0.9865436662190555,0.9927271939631084,0.08958749105419661,0.9514207149404217,0.9046393551682307,0.9531885435133461,0.8633093525179856,0.8695652173913043,0.8664259927797834
10,mobilenet_arch_final_03,20.855961084365845,224,0.0001,0.0003,1.2,low,mlp_2,256,1.0,0.1,hardswish,avg,none,full,1141540,1141540,214532,0.018944981076087494,0.9951346655082537,0.9911974131547585,0.9951619808207555,0.12169674814382885,0.9395050412465628,0.8687049712489817,0.9375873314889763,0.7948717948717948,0.8985507246376812,0.8435374149659864
