run_name,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,best_epoch,best_val_macro_f1,best_val_accuracy,best_val_weighted_f1,best_val_active_brazing_precision,best_val_active_brazing_recall,best_val_active_brazing_f1,num_params,num_trainable_params,num_classifier_params,checkpoint,fitness,generation
mobilenet_arch_evo_012,linear,256,0.5,0.1,gelu,avg_max,none,last_blocks,5,0.8462993725661435,0.9138405132905592,0.9169686770244605,0.7916666666666666,0.8260869565217391,0.8085106382978723,931620,649252,4612,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_012_best.pt,0.8299492131655879,1
mobilenet_arch_evo_070,mlp_1,256,1.0,0.1,relu,avg,none,full,3,0.8378774381364518,0.9019248395967002,0.9096509626543816,0.8484848484848485,0.8115942028985508,0.8296296296296296,1075748,1075748,148740,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_070_best.pt,0.8280734198733788,4
mobilenet_arch_evo_035,mlp_1,128,1.0,0.1,hardswish,avg,batchnorm,last_blocks,8,0.8717004152701943,0.9294225481209899,0.933786495939725,0.9333333333333333,0.7101449275362319,0.8065843621399177,1001636,719268,74628,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_035_best.pt,0.8231839135145032,2
mobilenet_arch_evo_011,linear,128,0.5,0.1,hardswish,avg,none,last_blocks,3,0.8665666600314589,0.9303391384051329,0.9314720850227676,0.8706896551724138,0.7318840579710145,0.7952755905511811,929316,646948,2308,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_011_best.pt,0.8213662354042949,0
mobilenet_arch_evo_052,mlp_2,256,1.0,0.2,hardswish,avg,none,full,2,0.8580041185936792,0.9340054995417049,0.9312812087103385,0.8536585365853658,0.7608695652173914,0.8045977011494253,1141540,1141540,214532,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_052_best.pt,0.8204510494817472,3
mobilenet_arch_evo_032,mlp_1,256,1.0,0.2,hardswish,avg,none,last_blocks,3,0.8532069105932063,0.923006416131989,0.9268840722914349,0.8045112781954887,0.7753623188405797,0.7896678966789668,1075748,793380,148740,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_032_best.pt,0.8163167669603284,2
mobilenet_arch_evo_017,mlp_2,256,1.0,0.2,hardswish,avg,batchnorm,last_blocks,8,0.8484603659501324,0.9101741521539871,0.918380229449225,0.8412698412698413,0.7681159420289855,0.803030303030303,1142564,860196,215556,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_017_best.pt,0.81619706034002,1
mobilenet_arch_evo_072,mlp_1,512,0.5,0.1,hardswish,avg_max,batchnorm,full,9,0.8543619153944377,0.921173235563703,0.9241342989259109,0.7108433734939759,0.855072463768116,0.7763157894736842,1520420,1520420,593412,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_072_best.pt,0.8152841135782257,4
mobilenet_arch_evo_051,mlp_1,512,0.5,0.1,gelu,avg_max,batchnorm,full,2,0.8514917920962222,0.9266727772685609,0.9282356659465478,0.6936416184971098,0.8695652173913043,0.7717041800643086,1520420,1520420,593412,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_051_best.pt,0.8144089016793148,3
mobilenet_arch_evo_002,linear,128,1.0,0.1,relu,avg,none,last_blocks,5,0.863602735138961,0.928505957836847,0.9306413033672641,0.808,0.7318840579710145,0.7680608365019012,929316,646948,2308,models/checkpoints/mobilenet_architecture_evolution/mobilenet_arch_evo_002_best.pt,0.8103591090407981,0
