epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_059,20.5107159614563,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.4528531858886873,0.8622067767158992,0.8095850127552529,0.8713192312708559,0.6643115204479801,0.768102658111824,0.49483270435113047,0.701707485179583,0.9,0.1956521739130435,0.32142857142857145
2,mobilenet_arch_evo_059,21.253849744796753,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.16292648202797105,0.9614248479582971,0.9359658694294629,0.9627383510676748,0.2847192820185483,0.9055912007332723,0.8078572413577517,0.8965414214070753,0.896551724137931,0.5652173913043478,0.6933333333333334
3,mobilenet_arch_evo_059,20.751861572265625,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.11621618036417004,0.9765421372719374,0.9582142778339761,0.9769016465120439,0.2631535105045294,0.9202566452795601,0.8222365931331738,0.919346163780115,0.6461538461538462,0.9130434782608695,0.7567567567567568
4,mobilenet_arch_evo_059,20.993694305419922,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.08766150783058045,0.9822762814943528,0.9679704441674011,0.9824632417480924,0.3207659439194869,0.923923006416132,0.8201830923460105,0.9190063580746994,0.6580310880829016,0.9202898550724637,0.7673716012084593
5,mobilenet_arch_evo_059,20.651559591293335,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.06682116402091408,0.98627280625543,0.9758056483740098,0.9864174163983234,0.3342363605195508,0.9010082493125573,0.7548802543455728,0.8910073044364772,0.5964125560538116,0.9637681159420289,0.7368421052631579
6,mobilenet_arch_evo_059,20.668771505355835,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.06527177801341155,0.9855777584708949,0.9733660392668023,0.9856970590250302,0.21011427274156502,0.9303391384051329,0.8572540997833614,0.9314022016023342,0.7959183673469388,0.8478260869565217,0.8210526315789474
7,mobilenet_arch_evo_059,20.821223735809326,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.055210824819568134,0.9887054735013032,0.9789637632258257,0.9887940046446586,0.18812312422052202,0.928505957836847,0.854987686891632,0.9310330176578744,0.7468354430379747,0.855072463768116,0.7972972972972973
8,mobilenet_arch_evo_059,21.009896516799927,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.03772134897788642,0.9918331885317115,0.9849564963315272,0.9918781353789136,0.16578964928743847,0.9376718606782768,0.8753221474173971,0.9383339891378918,0.7908496732026143,0.8768115942028986,0.8316151202749141
9,mobilenet_arch_evo_059,20.964802980422974,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.04738559994853055,0.989748045178106,0.981498087351419,0.9897959211183295,0.22878068313344044,0.919340054995417,0.8326412354276131,0.9199628553781445,0.6972972972972973,0.9347826086956522,0.7987616099071208
10,mobilenet_arch_evo_059,20.618085384368896,224,0.0001,0.0003,1.2,low,mlp_1,256,1.0,0.1,relu,avg,batchnorm,full,1076260,1076260,149252,0.03393143979742715,0.9920069504778454,0.9852556397873051,0.9920614396310125,0.2696095751111902,0.9120073327222732,0.8128149291179252,0.9134516651068074,0.6512820512820513,0.9202898550724637,0.7627627627627628
