epoch,run_name,epoch_time_s,image_size,lr,weight_decay,active_brazing_boost,augmentation,head_type,head_hidden,head_bottleneck_ratio,dropout,activation,pooling,head_norm,freeze_mode,num_params,num_trainable_params,num_classifier_params,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_active_brazing_precision,val_active_brazing_recall,val_active_brazing_f1
1,mobilenet_arch_evo_030,20.458306550979614,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.6765795529510124,0.7317115551694179,0.6667321771896658,0.7550545103072288,0.5852772355298183,0.7965169569202566,0.573910552341031,0.7487874390650548,1.0,0.10869565217391304,0.19607843137254902
2,mobilenet_arch_evo_030,20.89610767364502,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.24996434325088532,0.9258036490008688,0.8815128546721429,0.9297220223957313,0.36914102426507295,0.8725939505041247,0.7559789632021937,0.869615027199368,0.64,0.5797101449275363,0.6083650190114068
3,mobilenet_arch_evo_030,20.520415782928467,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.14540174579932366,0.952215464813206,0.9217209252859232,0.9542661294394608,0.2952755505294222,0.8643446379468378,0.7229394969752267,0.8598190946980384,0.5532786885245902,0.9782608695652174,0.7068062827225131
4,mobilenet_arch_evo_030,20.492446422576904,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.11466940161096438,0.9673327541268463,0.9439231836893898,0.9681946394251058,0.7670390202632255,0.7406049495875344,0.42587558690532196,0.721351476123175,0.34760705289672544,1.0,0.5158878504672897
5,mobilenet_arch_evo_030,20.358039617538452,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.09780661104737313,0.9706342311033883,0.9494516808650212,0.9712953341706972,0.4030927077975503,0.8588450962419798,0.7585965691437897,0.8663983360765305,0.5228215767634855,0.9130434782608695,0.6649076517150396
6,mobilenet_arch_evo_030,20.601985931396484,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.09358675220639782,0.9737619461337967,0.9535409777464335,0.9742512447960334,0.3994421562880763,0.8625114573785518,0.7502074404686944,0.8695144536239202,0.5171102661596958,0.9855072463768116,0.6783042394014963
7,mobilenet_arch_evo_030,20.531214237213135,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.071811166926118,0.9808861859252823,0.9659193663848704,0.9811983799505283,0.4886171811752834,0.8166819431714024,0.6190800663308341,0.8145922186846277,0.43670886075949367,1.0,0.6079295154185022
8,mobilenet_arch_evo_030,20.60228729248047,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.06368832250686442,0.982971329278888,0.9695881973457104,0.9831548586806796,0.335155492966357,0.8606782768102658,0.7166870725097172,0.861132182941243,0.5241935483870968,0.9420289855072463,0.6735751295336787
9,mobilenet_arch_evo_030,20.477482080459595,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.07426232998862177,0.9800173761946134,0.9645777771725066,0.9803292525163424,0.3059568574168061,0.8762603116406966,0.7638263730478607,0.8805007443472644,0.5518672199170125,0.9637681159420289,0.7018469656992085
10,mobilenet_arch_evo_030,20.576085090637207,224,0.0001,0.0003,1.2,low,mlp_1,256,0.5,0.1,gelu,avg_max,none,last_blocks,1223204,940836,296196,0.050015437165857796,0.9864465682015638,0.9755916424860378,0.9865964427644544,0.3036928590912949,0.8900091659028414,0.7578568575563607,0.8835896192940706,0.6216216216216216,1.0,0.7666666666666667
