frame_idx,timestamp_s,frame_read_ms,preprocess_ms,model_ms,neural_trigger_ms,cv_trigger_ms,postprocess_ms,total_ms,raw_stage_id,raw_stage_name,stable_stage_id,stable_stage_name,confidence,p_active_brazing,neural_trigger_on,cv_score,cv_trigger_on,hold_signal_on
0,0.0,34.88343599747168,12.550903000374092,27.90619100051117,0.004822002665605396,0.0015709993022028357,0.02803500319714658,75.65103199885925,0,inactive_preparation,0,inactive_preparation,0.9999802112579346,3.2063525168268825e-07,False,,False,False
1,0.03336666666666667,5.921373998717172,8.318197000335203,20.93231199978618,0.003977998858317733,0.0014319994079414755,0.024807999579934403,35.29848100151867,0,inactive_preparation,0,inactive_preparation,0.99998939037323,4.4830704837295343e-07,False,,False,False
2,0.06673333333333334,10.83848900088924,10.312929000065196,15.839957999560283,0.0021230007405392826,0.0011320007615722716,0.019045000954065472,37.08841800107621,0,inactive_preparation,0,inactive_preparation,0.9999892711639404,6.337099875963759e-07,False,,False,False
3,0.10010000000000001,5.558359996939544,9.100573002797319,22.180899999511894,0.002133998350473121,0.0012700002116616815,0.01803499981178902,36.93207000105758,0,inactive_preparation,0,inactive_preparation,0.999994158744812,1.247611152166428e-07,False,,False,False
4,0.13346666666666668,5.455111000628676,8.955385001172544,19.122446999972453,0.0018210012058261782,0.0012419986887834966,0.01804699786589481,33.62654500233475,0,inactive_preparation,0,inactive_preparation,0.999984622001648,2.164165380236227e-07,False,,False,False
5,0.16683333333333333,3.702373000123771,8.4267229976831,20.84418099912,0.0020650004444178194,0.0010379990271758288,0.01863799843704328,33.06448599687428,0,inactive_preparation,0,inactive_preparation,0.9999533891677856,1.4561184116246295e-06,False,,False,False
6,0.20020000000000002,3.700810000736965,8.396223998715868,21.31203099997947,0.0019120016077067703,0.0011129995982628316,0.017662998288869858,33.49992000221391,0,inactive_preparation,0,inactive_preparation,0.9999942779541016,8.453659461338248e-08,False,,False,False
7,0.23356666666666667,2.268466996611096,8.293268001580145,25.768169998627855,0.0019559993233997375,0.0012380005500745028,0.02067099921987392,36.42802399917855,0,inactive_preparation,0,inactive_preparation,0.9999938011169434,7.432430493281572e-08,False,,False,False
8,0.26693333333333336,3.7125039998500142,8.888242999091744,23.873996000475017,0.0022509993868879974,0.0012460004654712975,0.018473001546226442,36.56590500031598,0,inactive_preparation,0,inactive_preparation,0.9999927282333374,2.543085031447845e-07,False,,False,False
9,0.3003,1.7167349978990387,10.365254998760065,20.79901600154699,0.0018840000848285854,0.0010879994079004973,0.016829999367473647,32.96843600037391,0,inactive_preparation,0,inactive_preparation,0.9999921321868896,4.69771947564368e-07,False,,False,False
10,0.33366666666666667,1.7324010004813317,9.01311499910662,24.068052000075113,0.0021949999791104347,0.001205000444315374,0.018583999917609617,34.90717300155666,0,inactive_preparation,0,inactive_preparation,0.9999946355819702,2.2256551801547175e-07,False,,False,False
11,0.3670333333333333,1.702338002360193,7.000223999057198,15.85366899962537,0.0016739977581892163,0.0014180004654917866,0.019291997887194157,24.658043999806978,0,inactive_preparation,0,inactive_preparation,0.9999825954437256,9.618580634196405e-07,False,,False,False
12,0.40040000000000003,7.503611999709392,8.490300999255851,20.74234699830413,0.00173499938682653,0.0010780022421386093,0.018115999409928918,36.83923500284436,0,inactive_preparation,0,inactive_preparation,0.9999449253082275,5.403712293627905e-06,False,,False,False
13,0.4337666666666667,3.239516001485754,8.369388997380156,21.180055999138858,0.0018499995348975062,0.001009997504297644,0.017423000826966017,32.876991001103306,0,inactive_preparation,0,inactive_preparation,0.9999358654022217,3.1608478820999153e-06,False,,False,False
14,0.46713333333333334,1.7084399987652432,8.866788000887027,27.663544999086298,0.00216899934457615,0.0011990014172624797,0.04974699913873337,38.36272699845722,0,inactive_preparation,0,inactive_preparation,0.9999688863754272,1.4606974900743808e-06,False,,False,False
15,0.5005000000000001,3.47896599851083,9.079274997930042,22.852230998978484,0.0016890007827896625,0.0012609998520929366,0.018738999642664567,35.50619199813809,0,inactive_preparation,0,inactive_preparation,0.9999864101409912,8.452275324088987e-07,False,,False,False
16,0.5338666666666667,1.7255179991479963,8.554852996894624,26.110945000255015,0.002172000677092001,0.0012070013326592743,0.01983699985430576,36.50743199978024,0,inactive_preparation,0,inactive_preparation,0.9999531507492065,4.575912043947028e-06,False,,False,False
17,0.5672333333333334,3.573259000404505,8.237819998612395,22.565029001270887,0.0019409999367780983,0.0010250005288980901,0.017677000869298354,34.46799499943154,0,inactive_preparation,0,inactive_preparation,0.9999781847000122,1.2116904599679401e-06,False,,False,False
18,0.6006,4.011240002000704,10.802618999150582,18.274251000548247,0.0017370002751704305,0.0014670004020445049,0.0190739992831368,33.182621002197266,0,inactive_preparation,0,inactive_preparation,0.9999842643737793,3.8900242316231015e-07,False,,False,False
19,0.6339666666666667,3.7791850008943584,8.50759199965978,22.447381998063065,0.001824999344535172,0.0011689990060403943,0.019163999240845442,34.82585199890309,0,inactive_preparation,0,inactive_preparation,0.9999614953994751,1.6458878917546826e-06,False,,False,False
20,0.6673333333333333,4.021905002446147,8.283191000373336,24.305300998094026,0.0020760016923304647,0.0013139979273546487,0.020612998923752457,36.70808700189809,0,inactive_preparation,0,inactive_preparation,0.9999467134475708,2.1433581878227415e-06,False,,False,False
21,0.7007,1.6964390015345998,7.945121000375366,26.21468100187485,0.0017970014596357942,0.0010799994925037026,0.016550002328585833,35.93871400153148,0,inactive_preparation,0,inactive_preparation,0.999970555305481,1.0986118468281347e-06,False,,False,False
22,0.7340666666666666,1.7154540000774432,4.691733000072418,16.001182000763947,0.001959000655915588,0.0012089985830243677,0.021058000129414722,22.507972000312293,0,inactive_preparation,0,inactive_preparation,0.9999818801879883,7.244696575980925e-07,False,,False,False
23,0.7674333333333333,17.27624100021785,4.855402999965008,16.67929900213494,0.002040000254055485,0.0010809999366756529,0.019610000890679657,38.90995199981262,0,inactive_preparation,0,inactive_preparation,0.9999810457229614,1.1411572131692083e-06,False,,False,False
24,0.8008000000000001,3.402137997909449,4.7898569973767735,18.731595999270212,0.0017179991118609905,0.001062999217538163,0.019617000361904502,27.01517899913597,0,inactive_preparation,0,inactive_preparation,0.9999871253967285,1.1649007092273678e-06,False,,False,False
25,0.8341666666666667,3.7939100002404302,5.956091001280583,22.95101400159183,0.002015000063693151,0.0013649987522512674,0.01888699989649467,32.80559799895855,0,inactive_preparation,0,inactive_preparation,0.9999797344207764,8.389770869143831e-07,False,,False,False
26,0.8675333333333334,3.181927000696305,8.538881000276888,23.2172329997411,0.0021980013116262853,0.0013859971659258008,0.020311999833211303,35.037126999668544,0,inactive_preparation,0,inactive_preparation,0.99997878074646,1.895750187941303e-06,False,,False,False
27,0.9009,3.5174590011592954,12.05785999991349,24.166953000531066,0.0022860003809910268,0.0010639996617101133,0.020387000404298306,39.83949000030407,0,inactive_preparation,0,inactive_preparation,0.9999587535858154,1.7545702348797931e-06,False,,False,False
28,0.9342666666666667,5.058153998106718,10.688230002415366,23.925421002786607,0.001639000402064994,0.0012279997463338077,0.020264000340830535,39.76862000126857,0,inactive_preparation,0,inactive_preparation,0.9999796152114868,7.202526717264846e-07,False,,False,False
29,0.9676333333333333,5.385133998061065,8.468920997984242,20.427401999768335,0.0016539997886866331,0.0011969968909397721,0.0197730005311314,34.37954999753856,0,inactive_preparation,0,inactive_preparation,0.9999918937683105,1.9451483979082695e-07,False,,False,False
30,1.0010000000000001,3.436103001149604,4.567527001199778,16.73011199818575,0.002153003151761368,0.0010970034054480493,0.020244999177521095,24.840845999278827,0,inactive_preparation,0,inactive_preparation,0.9999860525131226,7.577883138765173e-07,False,,False,False
31,1.0343666666666667,13.329882000107318,4.0424680009891745,16.58846699865535,0.0021509986254386604,0.0011299998732283711,0.03288900188636035,34.074202998453984,0,inactive_preparation,0,inactive_preparation,0.9999794960021973,7.115987159522774e-07,False,,False,False
32,1.0677333333333334,3.1304479998652823,8.548378002160462,25.61544299896923,0.0019260005501564592,0.001101001544157043,0.02094699812005274,37.38867800348089,0,inactive_preparation,0,inactive_preparation,0.9999850988388062,5.968763048258552e-07,False,,False,False
33,1.1011,2.291335000336403,6.504179000330623,19.4153259981249,0.002472999767633155,0.0011189986253157258,0.021232001017779112,28.310260000580456,0,inactive_preparation,0,inactive_preparation,0.9999891519546509,5.412742325461295e-07,False,,False,False
34,1.1344666666666667,3.3535509974171873,8.651354000903666,22.733387999323895,0.0021609994291793555,0.0013310018402989954,0.020655003027059138,34.85344499858911,0,inactive_preparation,0,inactive_preparation,0.9999865293502808,6.524247169181763e-07,False,,False,False
35,1.1678333333333333,1.6914650004764553,5.088491998321842,18.71460399706848,0.0017749989638105035,0.0009980030881706625,0.021224001102382317,25.592973997845547,0,inactive_preparation,0,inactive_preparation,0.9999839067459106,1.274351348001801e-06,False,,False,False
36,1.2012,2.9439820027619135,9.267101999284932,22.90492699830793,0.0017950005712918937,0.0010879994079004973,0.019520000932971016,35.21067699693958,0,inactive_preparation,0,inactive_preparation,0.9999430179595947,3.1608315111952834e-06,False,,False,False
37,1.2345666666666666,2.0746959999087267,4.578006999508943,20.018152998090954,0.0016740013961680233,0.0014649995137006044,0.019447001250227913,26.781207001477014,0,inactive_preparation,0,inactive_preparation,0.9999759197235107,5.006580181543541e-07,False,,False,False
38,1.2679333333333334,2.414193000731757,7.0638320030411705,18.28947299873107,0.001896001776913181,0.0011330012057442218,0.03462499807938002,27.87793899915414,0,inactive_preparation,0,inactive_preparation,0.9999681711196899,9.852792572928593e-07,False,,False,False
39,1.3013000000000001,3.2426209982077125,8.17364400063525,22.926535999431508,0.0022620006348006427,0.00145800004247576,0.019443999917712063,34.45754499989562,0,inactive_preparation,0,inactive_preparation,0.9999864101409912,7.173777021307615e-07,False,,False,False
40,1.3346666666666667,2.803299001243431,9.914590998960193,20.587063001585193,0.0016289995983242989,0.001139000232797116,0.029137001547496766,33.40248400127166,0,inactive_preparation,0,inactive_preparation,0.9999864101409912,5.869344477105187e-07,False,,False,False
41,1.3680333333333334,3.498647998640081,8.24094299969147,15.078779000759823,0.0013140015653334558,0.001401000190526247,0.01499599966336973,26.89676099907956,0,inactive_preparation,0,inactive_preparation,0.9999691247940063,1.4144950455374783e-06,False,,False,False
42,1.4014,1.67309800235671,4.559799999697134,11.84559000103036,0.0016710000636521727,0.0011359989002812654,0.01564000194775872,18.15555099892663,0,inactive_preparation,0,inactive_preparation,0.9999886751174927,8.86388590970455e-07,False,,False,False
43,1.4347666666666667,1.6875729997991584,4.6942629996920004,11.667913000565022,0.0013260032574180514,0.0010660005500540137,0.014303997886599973,18.12373700158787,0,inactive_preparation,0,inactive_preparation,0.9999885559082031,5.960637849966588e-07,False,,False,False
44,1.4681333333333333,1.7278400009672623,4.662291998101864,11.737412001821212,0.00128199826576747,0.0013810022210236639,0.014108001778367907,18.202009003289277,0,inactive_preparation,0,inactive_preparation,0.999975323677063,1.0633477813826175e-06,False,,False,False
45,1.5015,1.6579110015300103,4.720664001069963,12.712910000118427,0.0016280027921311557,0.0008210008672904223,0.01678800254012458,19.18833699892275,0,inactive_preparation,0,inactive_preparation,0.9999744892120361,1.6646723679514253e-06,False,,False,False
46,1.5348666666666666,1.7458010006521363,4.778813003213145,12.776518997270614,0.001624997821636498,0.0008220013114623725,0.027450998459244147,19.39103599943337,0,inactive_preparation,0,inactive_preparation,0.9999747276306152,2.0737074919452425e-06,False,,False,False
47,1.5682333333333334,1.7129400002886541,4.965830998116871,11.918797998077935,0.0018400023691356182,0.0009219984349329025,0.01632100247661583,18.678417000046466,0,inactive_preparation,0,inactive_preparation,0.9999889135360718,4.425982069733436e-07,False,,False,False
48,1.6016000000000001,1.710767002805369,4.728084000817034,12.279492999368813,0.0016529993445146829,0.0008620008884463459,0.0155870002345182,18.796987998939585,0,inactive_preparation,0,inactive_preparation,0.999987006187439,4.490368041842885e-07,False,,False,False
49,1.6349666666666667,1.6991570009849966,4.681263999373186,11.933499001315795,0.0012210002751089633,0.0015020013961475343,0.014372999430634081,18.389688000752358,0,inactive_preparation,0,inactive_preparation,0.9999814033508301,1.1363986232026946e-06,False,,False,False
50,1.6683333333333334,1.8157119993702509,4.721410001366166,11.872817998664686,0.0011760021152440459,0.0008850001904647797,0.014842997188679874,18.49440899968613,0,inactive_preparation,0,inactive_preparation,0.9999475479125977,3.138788088108413e-06,False,,False,False
51,1.7017,1.6720170024200343,4.70392500210437,11.9459449997521,0.001472002622904256,0.0008810020517557859,0.014553999790223315,18.39706999817281,0,inactive_preparation,0,inactive_preparation,0.9999661445617676,9.627304962123162e-07,False,,False,False
52,1.7350666666666668,1.6958300002443139,4.637198002455989,11.842467996757478,0.001239000994246453,0.0009520008461549878,0.016383000911446288,18.252890000439947,0,inactive_preparation,0,inactive_preparation,0.9999892711639404,9.304501418228028e-07,False,,False,False
53,1.7684333333333333,1.7050710011972114,4.669336001825286,11.835348002932733,0.0013239987310953438,0.000805001036496833,0.015417997929034755,18.305257999600144,0,inactive_preparation,0,inactive_preparation,0.9999697208404541,9.260235742658551e-07,False,,False,False
54,1.8018,1.7060149984899908,4.686964999564225,11.872380000568228,0.0012689997674897313,0.0012170021363999695,0.016533002053620294,18.340139999054372,0,inactive_preparation,0,inactive_preparation,0.9999715089797974,3.707493533511297e-06,False,,False,False
55,1.8351666666666666,1.6889139988052193,4.704285998741398,11.851355000544572,0.0015480000001844019,0.0008759998308960348,0.015233999874908477,18.32033900063834,0,inactive_preparation,0,inactive_preparation,0.999977707862854,2.445105337756104e-06,False,,False,False
56,1.8685333333333334,1.6999300023599062,4.617586000676965,12.007386998448055,0.0017029997252393514,0.000976997398538515,0.01564200283610262,18.402710997179383,0,inactive_preparation,0,inactive_preparation,0.9999182224273682,6.239620233827736e-06,False,,False,False
57,1.9019,1.7743150019668974,4.8904399991442915,11.977635000221198,0.0012500022421590984,0.0009930008673109114,0.015940000594127923,18.720334002864547,0,inactive_preparation,0,inactive_preparation,0.9998971223831177,3.6816354622715153e-06,False,,False,False
58,1.9352666666666667,1.6960409993771464,4.631056999642169,12.42088900107774,0.001896001776913181,0.001119002263294533,0.018913000531028956,18.84273699761252,0,inactive_preparation,0,inactive_preparation,0.9999412298202515,2.646886514412472e-06,False,,False,False
59,1.9686333333333335,1.776545999746304,4.819943998882081,11.828524002339691,0.0014519973774440587,0.0010549993021413684,0.02994099850184284,18.51673900091555,0,inactive_preparation,0,inactive_preparation,0.9999300241470337,4.365431777841877e-06,False,,False,False
60,2.0020000000000002,1.6654649989504833,4.694548002589727,11.980041999777313,0.0016220001270994544,0.0008019997039809823,0.0147380014823284,18.416104998323135,0,inactive_preparation,0,inactive_preparation,0.9999157190322876,4.392995833768509e-06,False,,False,False
61,2.0353666666666665,1.6888009995454922,4.695387997344369,11.996215002000099,0.0016119993233587593,0.0007630005711689591,0.015874000382609665,18.458292001014343,0,inactive_preparation,0,inactive_preparation,0.9999500513076782,4.8716588025854435e-06,False,,False,False
