frame_idx,timestamp_s,frame_read_ms,preprocess_ms,model_ms,neural_trigger_ms,cv_trigger_ms,postprocess_ms,total_ms,raw_stage_id,raw_stage_name,stable_stage_id,stable_stage_name,confidence,p_active_brazing,neural_trigger_on,cv_score,cv_trigger_on,hold_signal_on
0,0.0,18.540487995778676,6.719811004586518,270.0471630014363,0.003716995706781745,0.0013179960660636425,0.028285001462791115,295.5441419981071,0,inactive_preparation,0,inactive_preparation,0.999756395816803,9.75325601757504e-05,False,,False,False
1,0.03336666666666667,1.9990979999420233,2.8289129986660555,3.4987399994861335,0.0028319991542957723,0.0011140000424347818,0.02549299824750051,8.454060996882617,0,inactive_preparation,0,inactive_preparation,0.9997335076332092,7.548615394625813e-05,False,,False,False
2,0.06673333333333334,2.010623000387568,2.4339299998246133,3.1600029979017563,0.0012710006558336318,0.0007299968274310231,0.03629300044849515,7.724417999270372,0,inactive_preparation,0,inactive_preparation,0.9995809197425842,0.00010461160854902118,False,,False,False
3,0.10010000000000001,0.7600129974889569,2.6556040029390715,3.1046140065882355,0.0010339936125092208,0.000595995516050607,0.010871000995393842,6.609301999560557,0,inactive_preparation,0,inactive_preparation,0.9995867609977722,8.470025932183489e-05,False,,False,False
4,0.13346666666666668,0.8156520052580163,2.6231830051983707,3.0802739929640666,0.0011890006135217845,0.0007269991328939795,0.010668001777958125,6.607704002817627,0,inactive_preparation,0,inactive_preparation,0.9997054934501648,6.820181442890316e-05,False,,False,False
5,0.16683333333333333,2.372928000113461,2.2165179980220273,3.0486169998766854,0.0011250012903474271,0.0004920002538710833,0.010652998753357679,7.723460999841336,0,inactive_preparation,0,inactive_preparation,0.9996175765991211,0.0001430130796507001,False,,False,False
6,0.20020000000000002,0.7557149947388098,2.6052769972011447,3.0074829992372543,0.001410997356288135,0.000471998646389693,0.009989998943638057,6.45132600038778,0,inactive_preparation,0,inactive_preparation,0.9997342228889465,7.637513772351667e-05,False,,False,False
7,0.23356666666666667,0.765454002248589,2.5677579978946596,3.014774003531784,0.0010309959179721773,0.0005010006134398282,0.009244002285413444,6.430818000808358,0,inactive_preparation,0,inactive_preparation,0.999848484992981,3.48052526533138e-05,False,,False,False
8,0.26693333333333336,0.6996559968683869,2.657529999851249,3.0145779965096153,0.0010570001904852688,0.0005319961928762496,0.008939001418184489,6.451866000134032,0,inactive_preparation,0,inactive_preparation,0.9998598098754883,3.697195279528387e-05,False,,False,False
9,0.3003,0.8102010033326223,2.586681002867408,2.9893669998273253,0.0010139992809854448,0.0004680041456595063,0.009101000614464283,6.46637399768224,0,inactive_preparation,0,inactive_preparation,0.9997838139533997,7.582841499242932e-05,False,,False,False
10,0.33366666666666667,0.7591860048705712,2.6215200050501153,2.974000002723187,0.000995998561847955,0.00045899651013314724,0.008896000508684665,6.4357669980381615,0,inactive_preparation,0,inactive_preparation,0.9997685551643372,9.410289931111038e-05,False,,False,False
11,0.3670333333333333,0.7603869962622412,2.592448996438179,2.992241003084928,0.0009680006769485772,0.0005519978003576398,0.00922100298339501,6.4248589987983,0,inactive_preparation,0,inactive_preparation,0.9997968077659607,8.860495290718973e-05,False,,False,False
12,0.40040000000000003,0.7460900014848448,2.501050003047567,2.9809359984938055,0.0009639989002607763,0.0004609973984770477,0.03613899752963334,6.335046993626747,0,inactive_preparation,0,inactive_preparation,0.9992876648902893,0.00025958236074075103,False,,False,False
13,0.4337666666666667,0.7446690069627948,2.627984998980537,3.002258003107272,0.000990999978967011,0.00045100023271515965,0.008912000339478254,6.453180001699366,0,inactive_preparation,0,inactive_preparation,0.9996881484985352,0.00012559135211631656,False,,False,False
14,0.46713333333333334,0.8663730041007511,2.47805799881462,2.9884979958296753,0.0010160001693293452,0.0004910034476779401,0.009024995961226523,6.413069000700489,0,inactive_preparation,0,inactive_preparation,0.9997115731239319,0.00013012012641411275,False,,False,False
15,0.5005000000000001,0.9636629984015599,2.5571190053597093,2.9784090002067387,0.0010310031939297915,0.0004519970389083028,0.008990005881059915,6.578333996003494,0,inactive_preparation,0,inactive_preparation,0.9997674822807312,0.0001291737426072359,False,,False,False
16,0.5338666666666667,0.8867590004228987,2.457104994391557,2.976807998493314,0.0009390059858560562,0.0004450048436410725,0.00885099871084094,6.401065002137329,0,inactive_preparation,0,inactive_preparation,0.999539852142334,0.00023859256180003285,False,,False,False
