frame_idx,timestamp_s,frame_read_ms,preprocess_ms,model_ms,postprocess_ms,total_ms,raw_stage_id,raw_stage_name,smooth_stage_id,smooth_stage_name,confidence
0,0.0,18.770324000342953,7.41302699998414,282.6065499998549,5.142302999956883,313.94152900020345,0,inactive_preparation,0,inactive_preparation,0.9999617338180542
1,0.03336666666666667,2.0028169997203804,2.831935999893176,3.6612940002669347,0.16707800023141317,8.67020500027138,0,inactive_preparation,0,inactive_preparation,0.9999780654907227
2,0.06673333333333334,1.8854049999390554,2.4593160001131764,3.2255999999506457,0.15705199984950013,7.731724999757716,0,inactive_preparation,0,inactive_preparation,0.9999860525131226
3,0.10010000000000001,0.7110430001375789,2.4893820000215783,3.0835279999337217,0.13213500005804235,6.420021999929304,0,inactive_preparation,0,inactive_preparation,0.9999896287918091
4,0.13346666666666668,0.8190940002350544,2.509582999664417,3.0805189999227878,0.1470930001232773,6.5603890002421394,0,inactive_preparation,0,inactive_preparation,0.9999867677688599
5,0.16683333333333333,0.7150839996938885,2.4969720002445683,3.062091000174405,0.12904000004709815,6.407081000361359,0,inactive_preparation,0,inactive_preparation,0.9999892711639404
6,0.20020000000000002,0.728259999959846,2.4806269998407515,3.0558450002899917,0.13876100001652958,6.40717800024504,0,inactive_preparation,0,inactive_preparation,0.9999920129776001
7,0.23356666666666667,0.7264299997586932,2.5198990001626953,3.034166999896115,0.12914599983560038,6.413263000013103,0,inactive_preparation,0,inactive_preparation,0.9999957084655762
8,0.26693333333333336,0.7080170003064268,2.4852279998412996,3.0307779998111073,0.12463699977161014,6.352495000101044,0,inactive_preparation,0,inactive_preparation,0.9999927282333374
9,0.3003,0.7092310002008162,2.496100999906048,3.0225729997255257,0.12735799964502803,6.3590099998691585,0,inactive_preparation,0,inactive_preparation,0.999992847442627
10,0.33366666666666667,0.7182449999163509,2.531976000227587,3.0331009998008085,0.12466900034269202,6.411481000213826,0,inactive_preparation,0,inactive_preparation,0.9999911785125732
11,0.3670333333333333,0.7553769996775372,2.474545000040962,3.0680589998155483,0.14364299977387418,6.445519999942917,0,inactive_preparation,0,inactive_preparation,0.9999905824661255
12,0.40040000000000003,0.7191429999693355,2.5224739997611323,3.0024910001884564,0.13109999963489827,6.378994000442617,0,inactive_preparation,0,inactive_preparation,0.9999912977218628
13,0.4337666666666667,0.7412120003209566,2.488757000264741,3.0219220002436487,0.12494000020524254,6.380559999797697,0,inactive_preparation,0,inactive_preparation,0.9999940395355225
14,0.46713333333333334,0.7007459998931154,2.495753999937733,3.0254000002969406,0.128559000131645,6.353960000069492,0,inactive_preparation,0,inactive_preparation,0.9999934434890747
15,0.5005000000000001,0.809722000212787,2.49273000008543,3.020599000137736,0.12495100008891313,6.451559999732126,0,inactive_preparation,0,inactive_preparation,0.9999971389770508
16,0.5338666666666667,0.6591199999093078,2.481491999787977,3.0529879995810916,0.12459599975045421,6.321736000245437,0,inactive_preparation,0,inactive_preparation,0.9999951124191284
17,0.5672333333333334,0.6889689998388349,2.550098000028811,3.0042660000617616,0.15171399991231738,6.398773999990226,0,inactive_preparation,0,inactive_preparation,0.9999905824661255
18,0.6006,0.7323380000343604,2.4624450002193043,3.0578910000258475,0.12396200008879532,6.380198999977438,0,inactive_preparation,0,inactive_preparation,0.9999872446060181
19,0.6339666666666667,0.8340969998243963,2.4657540002408496,3.062382000280195,0.1467010001761082,6.51259400001436,0,inactive_preparation,0,inactive_preparation,0.9999933242797852
20,0.6673333333333333,0.7796270001563244,2.47751300003074,2.99754599973312,0.12367899989840225,6.382064999797876,0,inactive_preparation,0,inactive_preparation,0.9999898672103882
21,0.7007,0.9537109999655513,2.4578480001764547,3.0275410003923753,0.12425000022631139,6.567046999862214,0,inactive_preparation,0,inactive_preparation,0.999984860420227
22,0.7340666666666666,0.6770939999114489,2.5358170000799873,3.045124999971449,0.12558799971884582,6.387332000031165,0,inactive_preparation,0,inactive_preparation,0.9999914169311523
23,0.7674333333333333,0.9563399999024114,2.394051999999647,3.0156110001371417,0.13809300025968696,6.507795000288752,0,inactive_preparation,0,inactive_preparation,0.9999940395355225
24,0.8008000000000001,0.6783009998798661,2.50873999993928,3.0361160002030374,0.12887699995189905,6.355766000069707,0,inactive_preparation,0,inactive_preparation,0.99998939037323
25,0.8341666666666667,0.6567320001522603,2.5373810003657127,3.0653180001536384,0.124384999708127,6.387511000411905,0,inactive_preparation,0,inactive_preparation,0.999988317489624
26,0.8675333333333334,0.695262000135699,2.474690000326518,3.0191040000318026,0.12808500014216406,6.321075999949244,0,inactive_preparation,0,inactive_preparation,0.9999905824661255
27,0.9009,0.6692850001854822,2.518529000099079,3.0100369999672694,0.12462599988793954,6.3261669997700665,0,inactive_preparation,0,inactive_preparation,0.9999840259552002
28,0.9342666666666667,0.7373579996965418,2.471363000040583,3.0321919998641533,0.14612299992222688,6.390776999978698,0,inactive_preparation,0,inactive_preparation,0.9999914169311523
29,0.9676333333333333,0.6313999997473729,2.4963109999589506,3.01369099997828,0.12588400022650603,6.270891999974992,0,inactive_preparation,0,inactive_preparation,0.9999889135360718
30,1.0010000000000001,0.6714609999107779,2.4785890000202926,3.025974000138376,0.1258649999726913,6.305540000084875,0,inactive_preparation,0,inactive_preparation,0.9999910593032837
31,1.0343666666666667,0.7520760000261362,2.4925099996835343,3.0164139998305473,0.12393199995130999,6.388515999788069,0,inactive_preparation,0,inactive_preparation,0.9999902248382568
32,1.0677333333333334,0.6614820003960631,2.5007899998854555,3.032866000012291,0.1271740002266597,6.326217999685468,0,inactive_preparation,0,inactive_preparation,0.9999911785125732
33,1.1011,0.7072550001794298,2.487241999915568,3.020722999735881,0.12615300011020736,6.345270999645436,0,inactive_preparation,0,inactive_preparation,0.9999918937683105
34,1.1344666666666667,0.7423380002364866,2.4478060004184954,3.038481000203319,0.12483499995141756,6.357078000291949,0,inactive_preparation,0,inactive_preparation,0.9999890327453613
35,1.1678333333333333,0.713188000190712,3.397127999960503,3.872167000281479,0.15781000001879875,8.145131999754085,0,inactive_preparation,0,inactive_preparation,0.9999895095825195
36,1.2012,0.7536450002589845,2.8660570001193264,2.830980999988242,0.11862700011988636,6.573262000074465,0,inactive_preparation,0,inactive_preparation,0.9999920129776001
37,1.2345666666666666,0.7524060001742328,2.2965150001255097,3.1556639996779268,0.13932399997429457,6.347860000005312,0,inactive_preparation,0,inactive_preparation,0.9999898672103882
38,1.2679333333333334,0.7085570000526786,2.9893759997321467,3.411783000046853,0.1638640001146996,7.277981999777694,0,inactive_preparation,0,inactive_preparation,0.9999909400939941
39,1.3013000000000001,0.7971429999997781,2.3361020002994337,3.045952999855217,0.12904699997307034,6.312685000011697,0,inactive_preparation,0,inactive_preparation,0.9999922513961792
40,1.3346666666666667,0.7906260002528143,2.4711930000194116,2.990600999964954,0.12468200020521181,6.380596000326477,0,inactive_preparation,0,inactive_preparation,0.9999927282333374
41,1.3680333333333334,0.7807089996276773,2.52959399995234,2.992398000060348,0.13734899994233274,6.443702000069607,0,inactive_preparation,0,inactive_preparation,0.9999874830245972
42,1.4014,1.7513170000711398,2.2758019999855605,2.9835350001121697,0.12388999994072947,7.138220999877376,0,inactive_preparation,0,inactive_preparation,0.99998939037323
43,1.4347666666666667,0.7724040001448884,2.4588999999650696,2.9778690000057395,0.12325500028964598,6.335872999898129,0,inactive_preparation,0,inactive_preparation,0.9999908208847046
44,1.4681333333333333,0.7140239999898768,2.5294619999840506,2.970134999941365,0.14346600028147805,6.3609129997530545,0,inactive_preparation,0,inactive_preparation,0.999994158744812
45,1.5015,0.7591329999740992,2.539531999900646,3.2205110001086723,0.12374900006761891,6.6465710001466505,0,inactive_preparation,0,inactive_preparation,0.9999909400939941
46,1.5348666666666666,0.9141259997704765,2.374805999806995,2.9667829999198148,0.15334299996538903,6.412626999917848,0,inactive_preparation,0,inactive_preparation,0.9999933242797852
47,1.5682333333333334,0.9719569998196675,2.446956999847316,2.9777390000162995,0.1229949998560187,6.523211000057927,0,inactive_preparation,0,inactive_preparation,0.9999945163726807
48,1.6016000000000001,0.9284219995606691,2.470866000294336,2.9705409997404786,0.13906599997426383,6.51260699987688,0,inactive_preparation,0,inactive_preparation,0.999994158744812
49,1.6349666666666667,1.049600999976974,2.414981000129046,2.995789999658882,0.12251099997229176,6.586304999927961,0,inactive_preparation,0,inactive_preparation,0.9999912977218628
50,1.6683333333333334,0.7937109999147651,2.512071000182914,2.96352899977137,0.14177100001688814,6.41458199970657,0,inactive_preparation,0,inactive_preparation,0.9999909400939941
51,1.7017,0.9039550000125018,2.4590739999439393,2.9766909997306357,0.1232209997397149,6.46629099992424,0,inactive_preparation,0,inactive_preparation,0.999993085861206
52,1.7350666666666668,0.6867150000289257,2.5135700002465455,2.969695000047068,0.1264779998564336,6.300258999999642,0,inactive_preparation,0,inactive_preparation,0.9999940395355225
53,1.7684333333333333,0.8841980002216587,2.481259999967733,2.968187000078615,0.12295099986658897,6.460141999923508,0,inactive_preparation,0,inactive_preparation,0.9999940395355225
54,1.8018,1.950599999872793,2.1910919999754697,2.995379000367393,0.12407399981384515,7.264898999892466,0,inactive_preparation,0,inactive_preparation,0.999993085861206
55,1.8351666666666666,0.783038999998098,2.4910410002121353,2.973923999888939,0.1478010003665986,6.399356000201806,0,inactive_preparation,0,inactive_preparation,0.9999946355819702
56,1.8685333333333334,0.798648999989382,2.5016429999595857,2.975585000058345,0.12307299994063214,6.402451999747427,0,inactive_preparation,0,inactive_preparation,0.9999929666519165
57,1.9019,0.7756160002827528,2.486155000042345,2.9910859998381056,0.12623599968719645,6.383000000369066,0,inactive_preparation,0,inactive_preparation,0.9999964237213135
58,1.9352666666666667,1.0797050003930053,2.4291540003105183,2.9658359999302775,0.12250600002516876,6.6008720000354515,0,inactive_preparation,0,inactive_preparation,0.9999963045120239
59,1.9686333333333335,1.0494210000615567,2.4041810002017883,2.973819000089861,0.14176200011206674,6.572854999831179,0,inactive_preparation,0,inactive_preparation,0.999995231628418
60,2.0020000000000002,1.0690229996725975,2.410788000361208,2.9718870000579045,0.12245000016264385,6.577543999810587,0,inactive_preparation,0,inactive_preparation,0.9999920129776001
61,2.0353666666666665,1.0671720001482754,2.413442000033683,2.9572400003416988,0.13549499999498948,6.576960000074905,0,inactive_preparation,0,inactive_preparation,0.9999932050704956
62,2.0687333333333333,1.9493959998726496,2.2370110000338173,3.0013559999133577,0.12177299959148513,7.313131000046269,0,inactive_preparation,0,inactive_preparation,0.9999920129776001
63,2.1021,1.0588879999886558,2.4570509999648493,2.950792999854457,0.15305699980672216,6.623322999985248,0,inactive_preparation,0,inactive_preparation,0.999990701675415
64,2.135466666666667,0.8329009997396497,2.482339999914984,2.974836000248615,0.12233300003572367,6.415897999886511,0,inactive_preparation,0,inactive_preparation,0.9999901056289673
65,2.168833333333333,1.0701589999371208,2.431591999993543,2.971670999613707,0.13787100033368915,6.614922000153456,0,inactive_preparation,0,inactive_preparation,0.99998939037323
66,2.2022,2.050839000276028,2.1966590002193698,2.990143000261014,0.12310600004639127,7.364111000242701,0,inactive_preparation,0,inactive_preparation,0.9999910593032837
67,2.2355666666666667,0.9022469998853921,2.443271000174718,2.9582769998341973,0.12434000018402003,6.431727000290266,0,inactive_preparation,0,inactive_preparation,0.9999874830245972
68,2.2689333333333335,0.7697460000599676,2.521367000099417,3.0309409999063064,0.12458600031095557,6.4504069996473845,0,inactive_preparation,0,inactive_preparation,0.9999903440475464
69,2.3023000000000002,0.9420040000804875,2.438510999581922,2.9846520001228782,0.12614199977178941,6.495273999917117,0,inactive_preparation,0,inactive_preparation,0.9999892711639404
70,2.3356666666666666,0.9313740001744009,2.466042999913043,2.9873690000385977,0.12309799967624713,6.51162199983446,0,inactive_preparation,0,inactive_preparation,0.9999927282333374
71,2.3690333333333333,1.1006459999407525,2.3986869996406313,2.996849999817641,0.15382099991256837,6.653774999904272,0,inactive_preparation,0,inactive_preparation,0.9999935626983643
72,2.4024,1.0885619999498886,2.3942050002006,2.9908110000178567,0.12394599980325438,6.6013199998451455,0,inactive_preparation,0,inactive_preparation,0.9999932050704956
73,2.435766666666667,2.634494000176346,2.2170900001583504,2.9813589999321266,0.12292200017327559,7.959423000102106,0,inactive_preparation,0,inactive_preparation,0.9999951124191284
74,2.469133333333333,0.746768999761116,3.4420959996168676,5.005660999813699,0.20532000007733586,9.404947999883007,0,inactive_preparation,0,inactive_preparation,0.9999939203262329
75,2.5025,0.70815799972479,2.41056100003334,3.543048000210547,0.14396999995369697,6.810239000060392,0,inactive_preparation,0,inactive_preparation,0.9999874830245972
76,2.5358666666666667,0.9738030003063614,2.3413680000885506,3.4742509997158777,0.15125899972190382,6.94505699993897,0,inactive_preparation,0,inactive_preparation,0.999984622001648
77,2.5692333333333335,0.6942180002624809,2.2621339999204793,3.00193799967019,0.12761600009980612,6.089757999689027,0,inactive_preparation,0,inactive_preparation,0.9999871253967285
78,2.6026000000000002,0.762946999657288,2.531041000111145,2.9839329999958863,0.12393899987728219,6.405409999842959,0,inactive_preparation,0,inactive_preparation,0.9999769926071167
79,2.6359666666666666,0.6861710003249755,2.5226269999620854,2.9786390000481333,0.14437999971050886,6.335312999908638,0,inactive_preparation,0,inactive_preparation,0.999984622001648
80,2.6693333333333333,0.6088609998187167,2.515371999834315,2.989713000260963,0.12712400030068238,6.244753999908426,0,inactive_preparation,0,inactive_preparation,0.9999736547470093
81,2.7027,0.6410320002032677,2.536660999794549,2.964302999771462,0.1271860000997549,6.279868000092392,0,inactive_preparation,0,inactive_preparation,0.9999933242797852
82,2.736066666666667,0.6318989999272162,2.3309840003093996,2.8813169997192745,0.13496200017470983,5.9829900001204805,0,inactive_preparation,0,inactive_preparation,0.9999899864196777
83,2.769433333333333,2.4567830000705726,2.323917000012443,2.8272290001041256,0.13115299998389673,7.742609000160883,0,inactive_preparation,0,inactive_preparation,0.9999911785125732
84,2.8028,0.7176069998422463,2.357786999709788,2.8643489999922167,0.14481699963653227,6.088322000323387,0,inactive_preparation,0,inactive_preparation,0.9999942779541016
85,2.8361666666666667,0.7081279995873047,2.3176280001280247,2.8917429999637534,0.15458600000783917,6.075749000046926,0,inactive_preparation,0,inactive_preparation,0.9999938011169434
86,2.8695333333333335,0.7428400003846036,2.4864359997991414,2.9765079998469446,0.12384199999360135,6.333398000151647,0,inactive_preparation,0,inactive_preparation,0.9999920129776001
87,2.9029000000000003,2.3546600000372564,2.167531999930361,2.9786850000164122,0.15178300009210943,7.656472999769903,0,inactive_preparation,0,inactive_preparation,0.9999957084655762
88,2.9362666666666666,0.612647000252764,2.555000000029395,2.96466000008877,0.12378800010992563,6.259662000047683,0,inactive_preparation,0,inactive_preparation,0.9999933242797852
89,2.9696333333333333,2.334637999865663,2.1922689998064016,3.034652000224014,0.1546180001241737,7.719856000221625,0,inactive_preparation,0,inactive_preparation,0.9999955892562866
90,3.003,0.6524370000988711,2.559709999786719,2.996498999891628,0.12267600004634005,6.33484399986628,0,inactive_preparation,0,inactive_preparation,0.9999936819076538
91,3.036366666666667,0.7044009998935508,2.4925050001911586,3.005716999723518,0.12359499987724121,6.329707000077178,0,inactive_preparation,0,inactive_preparation,0.9999905824661255
92,3.069733333333333,0.6919720003679686,2.524946999983513,2.981066000302235,0.15160400016611675,6.3532320000376785,0,inactive_preparation,0,inactive_preparation,0.9999914169311523
93,3.1031,0.6934660000297299,2.5402839996786497,2.992108999933407,0.1243140000042331,6.353725000280974,0,inactive_preparation,0,inactive_preparation,0.9999929666519165
94,3.1364666666666667,0.720485000329063,2.4950830002126168,3.007430999787175,0.12512700004663202,6.351731999984622,0,inactive_preparation,0,inactive_preparation,0.999993085861206
95,3.1698333333333335,2.4180219998015673,2.177157999994961,2.9990590001034434,0.12357600007817382,7.721879000200715,0,inactive_preparation,0,inactive_preparation,0.9999924898147583
96,3.2032000000000003,0.666335000005347,2.4939869999798248,3.0088369999248243,0.12562199981402955,6.298189000062848,0,inactive_preparation,0,inactive_preparation,0.9999889135360718
97,3.2365666666666666,0.6355560003612482,2.521554999930231,2.9807250002704677,0.1390299999002309,6.280423999669438,0,inactive_preparation,0,inactive_preparation,0.9999896287918091
98,3.2699333333333334,0.7456990001628583,2.5591739999981655,3.0106199997135263,0.12467499982449226,6.443703999593708,0,inactive_preparation,0,inactive_preparation,0.9999903440475464
99,3.3033,2.4231759998656344,2.1936039997854095,2.9893410001022858,0.12518299990915693,7.734698999684042,0,inactive_preparation,0,inactive_preparation,0.9999901056289673
100,3.336666666666667,0.6694749999951455,2.5191159998030344,2.985771000112436,0.12252399983481155,6.300456999724702,0,inactive_preparation,0,inactive_preparation,0.9999905824661255
101,3.370033333333333,0.6875340000078722,2.548279000166076,2.9710230001001037,0.141189999794733,6.351541999720212,0,inactive_preparation,0,inactive_preparation,0.9999912977218628
102,3.4034,0.703385999713646,2.5430819996472565,2.9646289999618602,0.12527699982456397,6.339902000036091,0,inactive_preparation,0,inactive_preparation,0.9999942779541016
103,3.4367666666666667,0.7490020002478559,2.4877559999367804,2.9686470002161514,0.12390200026857201,6.332801999633375,0,inactive_preparation,0,inactive_preparation,0.9999920129776001
104,3.4701333333333335,0.7103410002855526,2.5410260000171547,2.9865540000173496,0.15140499999688473,6.392918000074133,0,inactive_preparation,0,inactive_preparation,0.9999887943267822
