score_col,threshold,confirm_frames,num_videos,num_detected,num_missed,num_early,num_late,mae_s,mean_error_s,median_abs_error_s,max_abs_error_s,within_1.0s,within_2.0s
trigger_score_cv_binary_model,0.6,7,3,2,1,0,2,0.9499999999999993,0.9499999999999993,0.9499999999999993,1.5,0.5,1.0
trigger_score_cv_binary_model,0.6,10,3,2,1,0,2,0.9499999999999993,0.9499999999999993,0.9499999999999993,1.5,0.5,1.0
trigger_score_cv_binary_model,0.7,5,3,2,1,0,2,1.049999999999999,1.049999999999999,1.049999999999999,1.5,0.5,1.0
trigger_score_cv_binary_model,0.7,7,3,2,1,0,2,1.049999999999999,1.049999999999999,1.049999999999999,1.5,0.5,1.0
trigger_score_cv_binary_model,0.7,10,3,2,1,0,2,1.049999999999999,1.049999999999999,1.049999999999999,1.5,0.5,1.0
trigger_score_cv_binary_model,0.5,10,3,2,1,1,1,2.349999999999998,-1.9499999999999993,2.349999999999998,4.299999999999997,0.5,0.5
trigger_score_cv_binary_model,0.5,7,3,2,1,1,1,2.849999999999998,-2.4499999999999993,2.849999999999998,5.299999999999997,0.5,0.5
trigger_score_cv_binary_model,0.7,1,3,2,1,1,1,3.6999999999999993,-3.3000000000000007,3.6999999999999993,7.0,0.5,0.5
trigger_score_cv_binary_model,0.5,2,3,2,1,1,1,3.75,-3.3500000000000014,3.75,7.100000000000001,0.5,0.5
trigger_score_cv_binary_model,0.5,3,3,2,1,1,1,3.75,-3.3500000000000014,3.75,7.100000000000001,0.5,0.5
trigger_score_cv_binary_model,0.5,5,3,2,1,1,1,3.75,-3.3500000000000014,3.75,7.100000000000001,0.5,0.5
trigger_score_cv_binary_model,0.6,1,3,2,1,1,1,3.75,-3.3500000000000014,3.75,7.100000000000001,0.5,0.5
trigger_score_cv_binary_model,0.6,2,3,2,1,1,1,3.75,-3.3500000000000014,3.75,7.100000000000001,0.5,0.5
trigger_score_cv_binary_model,0.6,3,3,2,1,1,1,3.75,-3.3500000000000014,3.75,7.100000000000001,0.5,0.5
trigger_score_cv_binary_model,0.6,5,3,2,1,1,1,3.75,-3.3500000000000014,3.75,7.100000000000001,0.5,0.5
trigger_score_cv_binary_model,0.3,1,3,3,0,1,2,3.7999999999999985,-1.0666666666666664,4.0,7.299999999999997,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.3,2,3,3,0,1,2,3.7999999999999985,-1.0666666666666664,4.0,7.299999999999997,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.3,3,3,3,0,1,2,3.7999999999999985,-1.0666666666666664,4.0,7.299999999999997,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.7,2,3,2,1,1,1,3.799999999999999,-3.200000000000001,3.799999999999999,7.0,0.5,0.5
trigger_score_cv_binary_model,0.7,3,3,2,1,1,1,3.799999999999999,-3.200000000000001,3.799999999999999,7.0,0.5,0.5
trigger_score_cv_binary_model,0.4,5,3,2,1,1,1,3.799999999999999,-3.4999999999999982,3.799999999999999,7.299999999999997,0.5,0.5
trigger_score_cv_binary_model,0.4,7,3,2,1,1,1,3.799999999999999,-3.4999999999999982,3.799999999999999,7.299999999999997,0.5,0.5
trigger_score_cv_binary_model,0.4,10,3,2,1,1,1,3.799999999999999,-3.4999999999999982,3.799999999999999,7.299999999999997,0.5,0.5
trigger_score_cv_binary_model,0.5,1,3,2,1,1,1,3.849999999999998,-3.4499999999999993,3.849999999999998,7.299999999999997,0.5,0.5
trigger_score_cv_binary_model,0.3,5,3,3,0,1,2,3.9333333333333313,-0.9333333333333336,4.399999999999999,7.299999999999997,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.3,7,3,3,0,1,2,3.9333333333333313,-0.9333333333333336,4.399999999999999,7.299999999999997,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.3,10,3,3,0,1,2,3.9333333333333313,-0.9333333333333336,4.399999999999999,7.299999999999997,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.4,1,3,3,0,1,2,5.499999999999999,0.6333333333333341,7.299999999999997,9.100000000000001,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.4,2,3,3,0,1,2,5.566666666666666,0.7000000000000016,7.299999999999997,9.100000000000001,0.3333333333333333,0.3333333333333333
trigger_score_cv_binary_model,0.4,3,3,3,0,1,2,5.733333333333333,0.8666666666666684,7.299999999999997,9.600000000000001,0.3333333333333333,0.3333333333333333
