score_col,threshold,confirm_frames,num_videos,num_detected,num_missed,num_early,num_late,mae_s,mean_error_s,median_abs_error_s,max_abs_error_s,within_1.0s,within_2.0s
trigger_score_cv_norm,0.5,5,3,3,0,1,2,0.8999999999999974,-0.3000000000000007,0.5999999999999979,1.7999999999999972,0.6666666666666666,1.0
trigger_score_cv_norm,0.5,7,3,3,0,1,2,0.8999999999999974,-0.3000000000000007,0.5999999999999979,1.7999999999999972,0.6666666666666666,1.0
trigger_score_cv_norm,0.5,10,3,3,0,1,2,0.8999999999999974,-0.3000000000000007,0.5999999999999979,1.7999999999999972,0.6666666666666666,1.0
trigger_score_cv_norm,0.6,2,3,3,0,0,3,1.0666666666666664,1.0666666666666664,1.3999999999999986,1.4000000000000021,0.3333333333333333,1.0
trigger_score_cv_norm,0.6,3,3,3,0,0,3,1.5666666666666664,1.5666666666666664,1.3999999999999986,2.599999999999998,0.3333333333333333,0.6666666666666666
trigger_score_cv_norm,0.6,5,3,3,0,0,3,1.5666666666666664,1.5666666666666664,1.3999999999999986,2.599999999999998,0.3333333333333333,0.6666666666666666
trigger_score_cv_norm,0.7,1,3,3,0,0,3,1.6999999999999993,1.6999999999999993,1.3999999999999986,2.8000000000000007,0.3333333333333333,0.6666666666666666
trigger_score_cv_norm,0.7,2,3,3,0,0,3,1.7666666666666668,1.7666666666666668,1.3999999999999986,2.8000000000000007,0.0,0.6666666666666666
trigger_score_cv_norm,0.6,7,3,3,0,0,3,1.866666666666666,1.866666666666666,1.3999999999999986,3.4999999999999964,0.3333333333333333,0.6666666666666666
trigger_score_cv_norm,0.6,10,3,3,0,0,3,1.866666666666666,1.866666666666666,1.3999999999999986,3.4999999999999964,0.3333333333333333,0.6666666666666666
trigger_score_cv_norm,0.7,3,3,3,0,0,3,2.0333333333333328,2.0333333333333328,1.3999999999999986,3.599999999999998,0.0,0.6666666666666666
trigger_score_cv_norm,0.8,1,3,3,0,0,3,2.1666666666666656,2.1666666666666656,1.5,3.6999999999999993,0.0,0.6666666666666666
trigger_score_cv_norm,0.6,1,3,3,0,1,2,2.366666666666666,-2.033333333333335,0.3999999999999986,6.600000000000001,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.7,5,3,3,0,0,3,2.4333333333333336,2.4333333333333336,2.6000000000000014,3.599999999999998,0.0,0.3333333333333333
trigger_score_cv_norm,0.5,2,3,3,0,1,2,2.7999999999999985,-2.2000000000000015,0.5999999999999979,7.5,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.5,3,3,3,0,1,2,2.7999999999999985,-2.2000000000000015,0.5999999999999979,7.5,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.8,2,3,3,0,0,3,2.866666666666666,2.866666666666666,3.6000000000000014,3.6999999999999993,0.0,0.3333333333333333
trigger_score_cv_norm,0.7,7,3,2,1,0,2,3.0999999999999996,3.0999999999999996,3.0999999999999996,3.599999999999998,0.0,0.0
trigger_score_cv_norm,0.7,10,3,1,2,0,1,3.6000000000000014,3.6000000000000014,3.6000000000000014,3.6000000000000014,0.0,0.0
trigger_score_cv_norm,0.5,1,3,3,0,2,1,7.199999999999999,-7.000000000000001,0.29999999999999716,21.2,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.4,5,3,3,0,1,1,7.366666666666667,-7.166666666666667,0.3000000000000007,21.8,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.4,7,3,3,0,1,1,7.366666666666667,-7.166666666666667,0.3000000000000007,21.8,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.4,10,3,3,0,1,1,7.366666666666667,-7.166666666666667,0.3000000000000007,21.8,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.4,3,3,3,0,2,0,12.133333333333333,-12.133333333333333,0.10000000000000142,36.3,0.6666666666666666,0.6666666666666666
trigger_score_cv_norm,0.8,3,3,2,1,0,2,13.450000000000001,13.450000000000001,13.450000000000001,23.3,0.0,0.0
trigger_score_cv_norm,0.8,5,3,1,2,0,1,23.3,23.3,23.3,23.3,0.0,0.0
trigger_score_cv_norm,0.4,2,3,3,0,3,0,27.900000000000002,-27.900000000000002,30.5,36.7,0.0,0.0
trigger_score_cv_norm,0.4,1,3,3,0,3,0,34.13333333333333,-34.13333333333333,33.6,38.3,0.0,0.0
trigger_score_cv_norm,0.8,7,3,0,3,0,0,,,,,,
trigger_score_cv_norm,0.8,10,3,0,3,0,0,,,,,,
