score_col,threshold,confirm_frames,num_videos,num_detected,num_missed,num_early,num_late,mae_s,mean_error_s,median_abs_error_s,max_abs_error_s,within_1.0s,within_2.0s
trigger_score_stage_prob,0.2,7,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.3,3,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.3,5,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.3,7,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.4,1,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.4,2,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.4,3,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.5,1,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.5,2,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.5,3,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.6,1,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.6,2,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.6,3,3,3,0,0,3,0.6999999999999993,0.6999999999999993,0.8999999999999986,1.0,1.0,1.0
trigger_score_stage_prob,0.7,1,3,3,0,0,3,0.7333333333333331,0.7333333333333331,1.0,1.0,1.0,1.0
trigger_score_stage_prob,0.7,2,3,3,0,0,3,0.7333333333333331,0.7333333333333331,1.0,1.0,1.0,1.0
trigger_score_stage_prob,0.3,1,3,3,0,1,2,0.7999999999999984,-0.06666666666666643,0.8999999999999986,1.2999999999999972,0.6666666666666666,1.0
trigger_score_stage_prob,0.3,2,3,3,0,1,2,0.7999999999999984,-0.06666666666666643,0.8999999999999986,1.2999999999999972,0.6666666666666666,1.0
trigger_score_stage_prob,0.2,3,3,3,0,1,2,0.8999999999999998,-0.16666666666666785,0.8999999999999986,1.6000000000000014,0.6666666666666666,1.0
trigger_score_stage_prob,0.2,5,3,3,0,1,2,0.8999999999999998,-0.16666666666666785,0.8999999999999986,1.6000000000000014,0.6666666666666666,1.0
trigger_score_stage_prob,0.4,5,3,3,0,0,3,0.9666666666666673,0.9666666666666673,1.0,1.7000000000000028,0.6666666666666666,1.0
trigger_score_stage_prob,0.4,7,3,3,0,0,3,0.9666666666666673,0.9666666666666673,1.0,1.7000000000000028,0.6666666666666666,1.0
trigger_score_stage_prob,0.5,5,3,3,0,0,3,1.0333333333333325,1.0333333333333325,1.0,1.8999999999999986,0.6666666666666666,1.0
trigger_score_stage_prob,0.5,7,3,3,0,0,3,1.0333333333333325,1.0333333333333325,1.0,1.8999999999999986,0.6666666666666666,1.0
trigger_score_stage_prob,0.6,5,3,3,0,0,3,1.0666666666666664,1.0666666666666664,1.0,2.0,0.6666666666666666,1.0
trigger_score_stage_prob,0.6,7,3,3,0,0,3,1.0666666666666664,1.0666666666666664,1.0,2.0,0.6666666666666666,1.0
trigger_score_stage_prob,0.2,10,3,3,0,0,3,1.1333333333333317,1.1333333333333317,1.0,1.4999999999999964,0.6666666666666666,1.0
trigger_score_stage_prob,0.3,10,3,3,0,0,3,1.1333333333333317,1.1333333333333317,1.0,1.4999999999999964,0.6666666666666666,1.0
trigger_score_stage_prob,0.7,3,3,3,0,0,3,1.1666666666666654,1.1666666666666654,1.0,2.299999999999997,0.6666666666666666,0.6666666666666666
trigger_score_stage_prob,0.7,5,3,3,0,0,3,1.1666666666666654,1.1666666666666654,1.0,2.299999999999997,0.6666666666666666,0.6666666666666666
trigger_score_stage_prob,0.7,7,3,3,0,0,3,1.1666666666666654,1.1666666666666654,1.0,2.299999999999997,0.6666666666666666,0.6666666666666666
trigger_score_stage_prob,0.4,10,3,3,0,0,3,1.4333333333333336,1.4333333333333336,1.5999999999999979,1.7000000000000028,0.3333333333333333,1.0
trigger_score_stage_prob,0.5,10,3,3,0,0,3,1.5333333333333325,1.5333333333333325,1.6999999999999993,1.8999999999999986,0.3333333333333333,1.0
trigger_score_stage_prob,0.6,10,3,3,0,0,3,1.5666666666666664,1.5666666666666664,1.6999999999999993,2.0,0.3333333333333333,1.0
trigger_score_stage_prob,0.7,10,3,3,0,0,3,1.6999999999999993,1.6999999999999993,1.8000000000000007,2.299999999999997,0.3333333333333333,0.6666666666666666
trigger_score_stage_prob,0.2,2,3,3,0,2,1,13.333333333333334,-13.200000000000003,7.200000000000003,32.6,0.3333333333333333,0.3333333333333333
trigger_score_stage_prob,0.2,1,3,3,0,2,1,13.4,-13.266666666666666,7.200000000000003,32.8,0.3333333333333333,0.3333333333333333
