epoch,model_name,lr,epoch_time_s,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,resnet18,0.0003,17.809812545776367,0.45306908995438216,0.8451761987290584,0.7751604056299971,0.8586042219429612,0.7496439432952462,0.7347560975609756,0.5217969165337586,0.7470598150957586
2,resnet18,0.0003,16.21495747566223,0.17487272738997198,0.9462738301559792,0.9042027214048713,0.9481332411256737,0.7029826311258282,0.8780487804878049,0.7813454151482321,0.8855648817002303
3,resnet18,0.0003,16.280786752700806,0.19648919096577036,0.9474292316580012,0.906112603562494,0.9493355782005317,0.18117164801772492,0.948170731707317,0.8901647535834618,0.9479976349360889
4,resnet18,0.0003,16.13970446586609,0.1912468600865391,0.9537839399191219,0.9190025350469259,0.9547584117522926,0.24827415763014338,0.8810975609756098,0.7240857132432037,0.8800748883991019
5,resnet18,0.0003,16.235344886779785,0.12413265460328447,0.9688041594454073,0.9447219971496651,0.9693878852208021,0.4866323170114433,0.8810975609756098,0.7517267160070757,0.8750462505874435
6,resnet18,0.0003,16.172409057617188,0.12665234390777497,0.9786250722125939,0.9578629179000198,0.9787488635300741,0.4147972068862944,0.8109756097560976,0.6876571148876982,0.828648792711949
7,resnet18,0.0003,16.135923862457275,0.06363193271977581,0.9849797804737146,0.9711038654798001,0.9851124331036701,0.3693077044033377,0.8841463414634146,0.7682953362153677,0.8857841564403474
8,resnet18,0.00015,16.145561933517456,0.06299846477651616,0.9838243789716926,0.9699528017013008,0.9842072595389816,0.21414688744450203,0.9237804878048781,0.8512446418397053,0.9238473597199959
9,resnet18,0.00015,16.1837260723114,0.04046819712654626,0.9896013864818024,0.9794457923285772,0.9897079116043861,0.36970138723504864,0.8810975609756098,0.7577562384814062,0.8766856169916957
10,resnet18,0.00015,16.03031611442566,0.04024224621009734,0.9890236857307915,0.9803507884228768,0.9891614252988227,0.2075994501590286,0.9115853658536586,0.8140396970754114,0.9119979944239527
11,resnet18,0.00015,15.974813461303711,0.04115699783854234,0.9919121894858464,0.9850860916423101,0.9919271306571232,0.313065036209215,0.899390243902439,0.7953017300918863,0.8962893396587559
12,resnet18,0.00015,16.046475410461426,0.026307681683560694,0.9948006932409013,0.9900867884995613,0.9948186887084495,0.33758721857192564,0.8841463414634146,0.7728396065317064,0.882247763146397
13,resnet18,7.5e-05,16.049420833587646,0.019226823698238058,0.9965337954939342,0.993307600946569,0.9965376557432265,0.36594403516103674,0.8932926829268293,0.7924493889555138,0.894491263157235
14,resnet18,7.5e-05,16.12161350250244,0.020858449212548223,0.9965337954939342,0.9932908183981871,0.9965321483809149,0.4771336401648047,0.8810975609756098,0.7731520782242345,0.8781589184737348
15,resnet18,7.5e-05,15.83981442451477,0.01920694590056991,0.9971114962449451,0.9938921760803595,0.9971145595187411,0.2543504720655974,0.9146341463414634,0.8309156568760135,0.9154877312286561
16,resnet18,7.5e-05,15.667672872543335,0.01035054443121077,0.9971114962449451,0.9950635006544053,0.9971114962449451,0.28813945346159814,0.9115853658536586,0.8243221580733635,0.9140809375256772
17,resnet18,7.5e-05,15.982208251953125,0.014650021378943025,0.9959560947429231,0.9931791751213067,0.9959753247065143,0.31893132152830866,0.899390243902439,0.8020421021124494,0.9002500261335219
18,resnet18,3.75e-05,15.80241346359253,0.004021901252492832,1.0,1.0,1.0,0.25252177983113544,0.9024390243902439,0.8055969535465193,0.9029889904480373
19,resnet18,3.75e-05,15.93402910232544,0.02219359631607646,0.9982668977469671,0.9966320306220817,0.998267806504103,0.24331121277433207,0.9085365853658537,0.8264880952380953,0.9087289488966318
20,resnet18,3.75e-05,16.097737312316895,0.012890985357165681,0.997689196995956,0.9948546066062761,0.9976923108826876,0.27623444976407197,0.9146341463414634,0.8378448215585353,0.9109915992573472
21,resnet18,3.75e-05,15.974919557571411,0.00799953959266758,0.998844598497978,0.9976183614400066,0.9988441305837654,0.24123888837866395,0.9176829268292683,0.83890165859429,0.9174914149070654
22,resnet18,3.75e-05,16.147467374801636,0.00471775195760957,0.9994222992489891,0.9990415902688418,0.9994231370213199,0.27705502717559816,0.9115853658536586,0.8299449516385582,0.9098895947641761
23,resnet18,1.875e-05,16.08445119857788,0.003385977147534169,0.9994222992489891,0.9990415902688418,0.9994231370213199,0.2672792741228122,0.9115853658536586,0.8319523396957025,0.9095040670531712
24,resnet18,1.875e-05,16.18003559112549,0.0055368616004113445,0.998844598497978,0.9986705171596278,0.998842603120472,0.3152356365931266,0.8963414634146342,0.8043956043956043,0.893768426695256
