epoch,model_name,lr,epoch_time_s,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,mobilenet_v3_small,0.0003,54.51900339126587,0.6431556751382344,0.804159445407279,0.7212691186009311,0.8145167273197623,0.48257441964091324,0.8201219512195121,0.6223948780125788,0.7901891138126813
2,mobilenet_v3_small,0.0003,16.225125551223755,0.2307359856515176,0.9306759098786829,0.8821088279203524,0.9334456409615496,0.8443360989572617,0.7957317073170732,0.5487596188260558,0.7451937241388341
3,mobilenet_v3_small,0.0003,16.30240273475647,0.187603483941774,0.9468515309069901,0.9053051477990627,0.9483977852364518,0.4169588934448434,0.8170731707317073,0.5977834302325582,0.8107478374929098
4,mobilenet_v3_small,0.0003,16.231460332870483,0.13451688216298663,0.9659156556903524,0.938061901487815,0.9666695138697846,0.33289650111975966,0.9054878048780488,0.8073215183509301,0.903514604716183
5,mobilenet_v3_small,0.0003,16.090723991394043,0.08273058315722356,0.975736568457539,0.9564939322877773,0.9763040966784772,0.35234612810372934,0.8871951219512195,0.7477022753500419,0.883088899454704
6,mobilenet_v3_small,0.0003,16.248778343200684,0.09912200923740072,0.9792027729636048,0.9589051864132087,0.9793394318118066,0.20976906467819012,0.9359756097560976,0.857858139668372,0.931837195345076
7,mobilenet_v3_small,0.0003,16.077041387557983,0.1306820369111982,0.9612940496822646,0.9303451423279779,0.9625712865168178,0.3964380556689121,0.8445121951219512,0.7079272478805189,0.8537374469645953
8,mobilenet_v3_small,0.0003,16.381296634674072,0.07838497858802271,0.9792027729636048,0.9624172766466106,0.9795336236687606,0.5879066622838741,0.7865853658536586,0.7010034985197684,0.8091382760245869
9,mobilenet_v3_small,0.0003,16.54836082458496,0.13332000031594105,0.9381860196418256,0.9115284186817988,0.9426448306688483,0.8346004535120389,0.7987804878048781,0.6187336004812334,0.8060723844806935
10,mobilenet_v3_small,0.0003,16.57174277305603,0.059071052292225194,0.9803581744656268,0.9624419669252777,0.9806384070308252,0.23428810409074308,0.9359756097560976,0.8570685556969837,0.9360424407389324
11,mobilenet_v3_small,0.00015,16.179696559906006,0.06259751463161511,0.9826689774696707,0.9660266859054774,0.9828672727788046,0.43812137647963517,0.8536585365853658,0.7263067916052991,0.8616207261775153
12,mobilenet_v3_small,0.00015,16.23237943649292,0.03388946327573987,0.9913344887348353,0.9845698163933128,0.9913570873921905,0.3331817823849766,0.8841463414634146,0.7829301075268817,0.89040371754524
13,mobilenet_v3_small,0.00015,16.429600477218628,0.03152317652755359,0.9907567879838244,0.983383299389857,0.9908131725671703,0.47646061089897823,0.8810975609756098,0.7788838336107231,0.8851976073421025
14,mobilenet_v3_small,0.00015,16.230212688446045,0.04236715173877126,0.9924898902368573,0.9857927990801495,0.9925149875738869,0.38247035067988466,0.8932926829268293,0.7842734296771401,0.8954659425369523
15,mobilenet_v3_small,0.00015,16.27341389656067,0.03308843629749988,0.9913344887348353,0.9830928020127502,0.991384507428633,0.5299804844842406,0.8475609756097561,0.6516618883792049,0.8374921449615874
16,mobilenet_v3_small,7.5e-05,16.309563398361206,0.04878797827386429,0.9861351819757366,0.9751052162381029,0.986232543030669,0.43218397744132697,0.8810975609756098,0.7896533573952929,0.8884017045110673
17,mobilenet_v3_small,7.5e-05,16.236687898635864,0.01593055707687143,0.997689196995956,0.9956888827160034,0.9976862848764989,0.38995133846277363,0.9024390243902439,0.816535193177666,0.9064544977073923
18,mobilenet_v3_small,7.5e-05,16.116411685943604,0.020981812509608573,0.9930675909878682,0.9873773827825102,0.9931458408470414,0.38649768463499906,0.8932926829268293,0.7888559339661657,0.8969573299206963
19,mobilenet_v3_small,7.5e-05,16.329660654067993,0.012294345396191016,0.997689196995956,0.9952800519236654,0.9976933547438827,0.34276135614079356,0.9054878048780488,0.8134158364466584,0.9071981403578045
20,mobilenet_v3_small,7.5e-05,16.275476217269897,0.01680431247041585,0.9953783939919122,0.9909295078569238,0.9953873054980745,0.33017774193835864,0.9024390243902439,0.8120902524096084,0.905981446954427
21,mobilenet_v3_small,3.75e-05,16.241843223571777,0.01822369729568466,0.9971114962449451,0.9938826241375509,0.9971097167703077,0.38929496459959634,0.899390243902439,0.8176286349906277,0.9036397881499599
22,mobilenet_v3_small,3.75e-05,16.42193579673767,0.013444915116866293,0.997689196995956,0.9952784739788193,0.9976838488641885,0.2855112434995024,0.9176829268292683,0.8344431412587712,0.9207638718628842
23,mobilenet_v3_small,3.75e-05,16.20681881904602,0.011669734945646658,0.997689196995956,0.9952744728536541,0.99769059495512,0.3097088013522053,0.9176829268292683,0.8307684054415756,0.920744088006128
24,mobilenet_v3_small,3.75e-05,16.204632997512817,0.009699163423430935,0.998844598497978,0.9980776018555869,0.998844598497978,0.3178684513397634,0.9146341463414634,0.831374280608272,0.9180773338512462
