epoch,run_name,image_size,lr,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,phase,active_brazing_boost
1,resnet18_96,96,0.0003,17.315266609191895,0.7315634218289085,0.8985507246376812,0.3012087611195111,0.9009556907037359,0.8509307792319423,0.9064717134687228,0.5713480892783248,0.7461044912923923,0.6604005998122522,0.7815071637596069,initial,
2,resnet18_96,96,0.0003,17.283429622650146,0.8513513513513513,0.9130434782608695,0.12520747853913947,0.9640312771503041,0.9375808189119439,0.9650780554185365,0.24343498278299122,0.8900091659028414,0.8051388154324683,0.8867438101917454,initial,
3,resnet18_96,96,0.0003,17.195096969604492,0.7903780068728522,0.8333333333333334,0.1078632933014015,0.9721980886185926,0.9516055386466444,0.9727477625680571,0.16753399736712338,0.923006416131989,0.8495866720392534,0.926750516383744,initial,
4,resnet18_96,96,0.0003,17.418076038360596,0.6824925816023739,0.8333333333333334,0.07965887529090966,0.9763683753258037,0.9589505662529165,0.9767463244018283,0.3926112328262716,0.8909257561869844,0.7553462746383343,0.8897088781958737,initial,
5,resnet18_96,96,0.0003,17.24765944480896,0.6573816155988857,0.855072463768116,0.0965419380266954,0.9754995655951346,0.9568107543355674,0.9759667157291958,0.4793165501469181,0.8551787351054079,0.7072764935383928,0.8600274289711928,initial,
6,resnet18_96,96,0.0003,17.260361671447754,0.6091954022988506,0.7681159420289855,0.08061682987022825,0.98123370981755,0.965378710501672,0.9815085782439342,0.44034735008204406,0.8551787351054079,0.6913097245555095,0.8577150123068283,initial,
7,resnet18_96,96,0.0003,17.15286684036255,0.6039387308533917,1.0,0.06351551430172034,0.9834926151172894,0.9700394958158336,0.9836342610230144,0.7245645190691674,0.8120989917506874,0.5224689056553558,0.7898534448247294,initial,
8,resnet18_96,96,0.0003,17.096872329711914,0.8686868686868687,0.9347826086956522,0.043143742587773384,0.9866203301476977,0.9757150138243538,0.9867843685492503,0.17818359192685274,0.9340054995417049,0.8755869641155902,0.9340656701949908,initial,
9,resnet18_96,96,0.0003,17.270206689834595,0.7961783439490446,0.9057971014492754,0.06670361232307039,0.98627280625543,0.974248823678727,0.9863803100824485,0.3009100362895763,0.916590284142988,0.8233196676307639,0.9153496548052378,initial,
10,resnet18_96,96,0.0003,17.334011554718018,0.7019498607242339,0.9130434782608695,0.06135581217732096,0.9808861859252823,0.9677247012468074,0.9811259005993901,0.29143597104385505,0.8780934922089826,0.7389441123286233,0.8772522299503259,initial,
11,resnet18_96,96,0.0003,17.16700553894043,0.7294117647058823,0.6739130434782609,0.05288602216808461,0.9878366637706343,0.9778401274841455,0.9878796486921952,0.17653862584005653,0.919340054995417,0.8397630974494801,0.9220346733929916,initial,
12,resnet18_96,96,0.0003,17.289332628250122,0.7683284457478006,0.9492753623188406,0.04765478645934425,0.9864465682015638,0.9751169331041977,0.9866011676549318,0.37751115371892646,0.8881759853345554,0.762479128002197,0.8836805507375283,initial,
13,resnet18_96,96,0.00015,17.229669094085693,0.7090909090909091,0.8478260869565217,0.0495441976459705,0.9871416159860991,0.9772814863059403,0.9872613709325853,0.3659626328464048,0.8835930339138405,0.7632875441583856,0.885721924160779,initial,
14,resnet18_96,96,0.00015,17.26378607749939,0.7095115681233933,1.0,0.026285608189680544,0.9928757602085143,0.9873645272248405,0.9929363170919081,0.5386523576421617,0.8698441796516957,0.7061032216499217,0.8639583247045501,initial,
15,resnet18_96,96,0.00015,17.31375527381897,0.7665706051873199,0.9637681159420289,0.022502335633934483,0.9942658557775848,0.9895229577781823,0.9942961621670139,0.39458684604965916,0.8991750687442713,0.7789269394583112,0.8959142793892673,initial,
16,resnet18_96,96,0.00015,17.415806770324707,0.7422096317280453,0.9492753623188406,0.020564953236720102,0.9951346655082537,0.9915194260204417,0.9951520590493866,0.4135702477853891,0.8936755270394133,0.7621932735271381,0.8900479830067197,initial,
17,resnet18_96_finetuned,96,0.0001,17.277676105499268,0.7355623100303952,0.8768115942028986,0.02432862712063468,0.9946133796698523,0.990202194815186,0.9946227598806162,0.5008745339011731,0.9010082493125573,0.7857671213822446,0.9004376971950125,initial,1.1
18,resnet18_96_finetuned,96,0.0001,17.565824508666992,0.6958762886597938,0.9782608695652174,0.023658916664743297,0.9953084274543875,0.9911983089779237,0.9953188159949653,0.473960405553392,0.8698441796516957,0.7146231136173803,0.8687934200596301,initial,1.1
19,resnet18_96_finetuned,96,0.0001,17.391659021377563,0.8085106382978723,0.9637681159420289,0.018200712663935317,0.9947871416159861,0.9902026902891465,0.9948064906044217,0.30958283586840196,0.9175068744271311,0.8279765203013589,0.9173301536737395,initial,1.1
20,resnet18_96_finetuned,96,0.0001,17.45200777053833,0.7146666666666667,0.9710144927536232,0.011055399732665037,0.9966985230234578,0.9942251699509679,0.99670885835766,0.3730067985964705,0.8780934922089826,0.7346731601731601,0.8764855666789673,initial,1.1
21,resnet18_96_finetuned,96,0.0001,17.63625693321228,0.7365591397849462,0.9927536231884058,0.02253763445906485,0.9946133796698523,0.9906626455122838,0.9946264120957624,0.4369176993027349,0.8835930339138405,0.7420791782432496,0.8795002045059057,initial,1.1
22,resnet18_96_finetuned,96,0.0001,17.46700692176819,0.6909090909090909,0.9637681159420289,0.017765770096725888,0.9944396177237185,0.9902235401081239,0.9944591014880866,0.4367129539468981,0.8716773602199817,0.6924698052811751,0.8617145521608109,initial,1.1
23,resnet18_96_finetuned,96,5e-05,17.51085877418518,0.7486033519553073,0.9710144927536232,0.00998601363914178,0.9972198088618592,0.9947623562841208,0.9972228585037107,0.44013619462322645,0.9010082493125573,0.7801856331280818,0.8990692586967827,initial,1.1
24,resnet18_96_finetuned,96,5e-05,17.387571573257446,0.7513812154696132,0.9855072463768116,0.011333462330692736,0.9970460469157254,0.9944347697638818,0.9970492238957914,0.40189886542182607,0.9000916590284143,0.7698727469131652,0.8954760285521385,initial,1.1
25,resnet18_96_finetuned,96,5e-05,17.105774641036987,0.7563025210084033,0.9782608695652174,0.010456919126010008,0.9968722849695917,0.994114251597296,0.9968793358200077,0.3691713697115071,0.9019248395967002,0.7710003920770758,0.8963027627686421,finetune,1.1
26,resnet18_96_finetuned,96,5e-05,17.285877227783203,0.8311688311688312,0.927536231884058,0.009376032435390645,0.9986099044309297,0.997222837568652,0.9986124538952184,0.3083309502888404,0.928505957836847,0.8388310615765494,0.9233173876088238,finetune,1.1
27,resnet18_96_finetuned,96,5e-05,17.37498140335083,0.7605633802816901,0.9782608695652174,0.015405793672216754,0.9970460469157254,0.9945963704421399,0.9970499228974351,0.3652414380694029,0.9037580201649863,0.7780456701851757,0.9000378461821615,finetune,1.1
28,resnet18_96_finetuned,96,5e-05,17.305360794067383,0.8125,0.9420289855072463,0.009101803071502974,0.9968722849695917,0.9939930359051328,0.9968776717756033,0.2584128950959825,0.9248395967002749,0.8418112755986911,0.9249083280505029,finetune,1.1
29,resnet18_96_finetuned,96,5e-05,17.515008449554443,0.7302452316076294,0.9710144927536232,0.004530096577852539,0.9987836663770634,0.9978894519063332,0.9987862523218561,0.43431570829991933,0.8927589367552704,0.7644148774351471,0.8921169529823433,finetune,1.1
30,resnet18_96_finetuned,96,5e-05,17.25658345222473,0.7492957746478873,0.9637681159420289,0.0058776326294023035,0.998262380538662,0.996921796662831,0.998267275464363,0.35957283537773227,0.9000916590284143,0.7852608458858457,0.9005534507869668,finetune,1.1
31,resnet18_96_finetuned,96,5e-05,17.279220581054688,0.7521367521367521,0.9565217391304348,0.0027634019983418974,0.9991311902693311,0.9984667577521361,0.9991330734504984,0.41336188237026805,0.9065077910174152,0.7946347058916119,0.9051620778937702,finetune,1.1
32,resnet18_96_finetuned,96,2.5e-05,17.301490545272827,0.78419452887538,0.9347826086956522,0.008614499743770546,0.998262380538662,0.9966574886573718,0.9982647448166615,0.28867069234011145,0.916590284142988,0.8189526935171217,0.9150317207638646,finetune,1.1
