epoch,run_name,image_size,lr,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,resnet18_96,96,0.0003,17.315266609191895,0.7315634218289085,0.8985507246376812,0.3012087611195111,0.9009556907037359,0.8509307792319423,0.9064717134687228,0.5713480892783248,0.7461044912923923,0.6604005998122522,0.7815071637596069
2,resnet18_96,96,0.0003,17.283429622650146,0.8513513513513513,0.9130434782608695,0.12520747853913947,0.9640312771503041,0.9375808189119439,0.9650780554185365,0.24343498278299122,0.8900091659028414,0.8051388154324683,0.8867438101917454
3,resnet18_96,96,0.0003,17.195096969604492,0.7903780068728522,0.8333333333333334,0.1078632933014015,0.9721980886185926,0.9516055386466444,0.9727477625680571,0.16753399736712338,0.923006416131989,0.8495866720392534,0.926750516383744
4,resnet18_96,96,0.0003,17.418076038360596,0.6824925816023739,0.8333333333333334,0.07965887529090966,0.9763683753258037,0.9589505662529165,0.9767463244018283,0.3926112328262716,0.8909257561869844,0.7553462746383343,0.8897088781958737
5,resnet18_96,96,0.0003,17.24765944480896,0.6573816155988857,0.855072463768116,0.0965419380266954,0.9754995655951346,0.9568107543355674,0.9759667157291958,0.4793165501469181,0.8551787351054079,0.7072764935383928,0.8600274289711928
6,resnet18_96,96,0.0003,17.260361671447754,0.6091954022988506,0.7681159420289855,0.08061682987022825,0.98123370981755,0.965378710501672,0.9815085782439342,0.44034735008204406,0.8551787351054079,0.6913097245555095,0.8577150123068283
7,resnet18_96,96,0.0003,17.15286684036255,0.6039387308533917,1.0,0.06351551430172034,0.9834926151172894,0.9700394958158336,0.9836342610230144,0.7245645190691674,0.8120989917506874,0.5224689056553558,0.7898534448247294
8,resnet18_96,96,0.0003,17.096872329711914,0.8686868686868687,0.9347826086956522,0.043143742587773384,0.9866203301476977,0.9757150138243538,0.9867843685492503,0.17818359192685274,0.9340054995417049,0.8755869641155902,0.9340656701949908
9,resnet18_96,96,0.0003,17.270206689834595,0.7961783439490446,0.9057971014492754,0.06670361232307039,0.98627280625543,0.974248823678727,0.9863803100824485,0.3009100362895763,0.916590284142988,0.8233196676307639,0.9153496548052378
10,resnet18_96,96,0.0003,17.334011554718018,0.7019498607242339,0.9130434782608695,0.06135581217732096,0.9808861859252823,0.9677247012468074,0.9811259005993901,0.29143597104385505,0.8780934922089826,0.7389441123286233,0.8772522299503259
11,resnet18_96,96,0.0003,17.16700553894043,0.7294117647058823,0.6739130434782609,0.05288602216808461,0.9878366637706343,0.9778401274841455,0.9878796486921952,0.17653862584005653,0.919340054995417,0.8397630974494801,0.9220346733929916
12,resnet18_96,96,0.0003,17.289332628250122,0.7683284457478006,0.9492753623188406,0.04765478645934425,0.9864465682015638,0.9751169331041977,0.9866011676549318,0.37751115371892646,0.8881759853345554,0.762479128002197,0.8836805507375283
13,resnet18_96,96,0.00015,17.229669094085693,0.7090909090909091,0.8478260869565217,0.0495441976459705,0.9871416159860991,0.9772814863059403,0.9872613709325853,0.3659626328464048,0.8835930339138405,0.7632875441583856,0.885721924160779
14,resnet18_96,96,0.00015,17.26378607749939,0.7095115681233933,1.0,0.026285608189680544,0.9928757602085143,0.9873645272248405,0.9929363170919081,0.5386523576421617,0.8698441796516957,0.7061032216499217,0.8639583247045501
15,resnet18_96,96,0.00015,17.31375527381897,0.7665706051873199,0.9637681159420289,0.022502335633934483,0.9942658557775848,0.9895229577781823,0.9942961621670139,0.39458684604965916,0.8991750687442713,0.7789269394583112,0.8959142793892673
16,resnet18_96,96,0.00015,17.415806770324707,0.7422096317280453,0.9492753623188406,0.020564953236720102,0.9951346655082537,0.9915194260204417,0.9951520590493866,0.4135702477853891,0.8936755270394133,0.7621932735271381,0.8900479830067197
