method,model,score_col,threshold,confirm_frames,num_videos,num_detected,num_missed,num_early,num_late,mae_s,mean_error_s,median_abs_error_s,max_abs_error_s,within_1.0s,within_2.0s
cv_binary_ml,RandomForest,score_binary_RandomForest,0.6,1,3,2,1,1,1,1.4999999999999982,-0.7999999999999989,1.4999999999999982,2.299999999999997,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.6,2,3,2,1,1,1,1.4999999999999982,-0.7999999999999989,1.4999999999999982,2.299999999999997,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.6,3,3,2,1,1,1,1.4999999999999982,-0.7999999999999989,1.4999999999999982,2.299999999999997,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.6,5,3,2,1,1,1,1.4999999999999982,-0.7999999999999989,1.4999999999999982,2.299999999999997,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.6,7,3,2,1,1,1,1.4999999999999982,-0.7999999999999989,1.4999999999999982,2.299999999999997,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.6,10,3,2,1,1,1,1.4999999999999982,-0.7999999999999989,1.4999999999999982,2.299999999999997,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.5,7,3,2,1,1,1,1.4999999999999982,-0.9000000000000004,1.4999999999999982,2.3999999999999986,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.5,10,3,2,1,1,1,1.4999999999999982,-0.9000000000000004,1.4999999999999982,2.3999999999999986,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.7,1,3,2,1,1,1,1.5,-0.6000000000000014,1.5,2.1000000000000014,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.7,2,3,2,1,1,1,1.5,-0.6000000000000014,1.5,2.1000000000000014,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.7,3,3,2,1,1,1,1.5,-0.6000000000000014,1.5,2.1000000000000014,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.7,5,3,2,1,1,1,1.5,-0.6000000000000014,1.5,2.1000000000000014,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.7,7,3,2,1,1,1,1.5,-0.6000000000000014,1.5,2.1000000000000014,0.5,0.5
cv_binary_ml,RandomForest,score_binary_RandomForest,0.7,10,3,2,1,1,1,1.5,-0.6000000000000014,1.5,2.1000000000000014,0.5,0.5
