method,accuracy,macro_f1,weighted_f1
raw,0.8747113163972287,0.8209343662822344,0.8895445279012237
majority_smoothing_w5,0.8775981524249422,0.828993273465477,0.8925818121293866
state_machine_c5_w7,0.8441108545034642,0.7988427447260225,0.8673516482583392
