epoch,run_name,image_size,lr,weight_decay,active_brazing_boost,augmentation,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,20.91312074661255,0.6594202898550725,0.6594202898550725,0.5599646073129257,0.8359687228496959,0.7627300830781649,0.8438247128954723,0.37207562722928145,0.8716773602199817,0.7211600872986348,0.8687440215823093
2,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,21.144088983535767,0.7697594501718213,0.8115942028985508,0.16417412138912182,0.952215464813206,0.9202096457257989,0.9541963139960249,0.20982090955366245,0.918423464711274,0.8321542809316249,0.9197419853385617
3,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,20.839643001556396,0.7933884297520661,0.6956521739130435,0.1176176877732799,0.9680278019113814,0.9432260882771067,0.9687625626120678,0.18936048992708884,0.9422548120989918,0.879438187960606,0.9426286506190384
4,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,20.838679790496826,0.858085808580858,0.9420289855072463,0.08343189408942785,0.976020851433536,0.9564727250775218,0.9764396646732901,0.1540293871868132,0.9459211732355637,0.8759240510936308,0.9418631384708958
5,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,20.83928155899048,0.8951048951048951,0.927536231884058,0.07551529542789782,0.9784535186794092,0.9615117967963425,0.9787561248557238,0.11059831490840057,0.9596700274977086,0.9145147007987792,0.9588833836271773
6,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,21.135687112808228,0.9111111111111111,0.8913043478260869,0.05808306467872304,0.9855777584708949,0.9731107146471155,0.9857036076928104,0.10388010206050133,0.9468377635197067,0.8956719122493972,0.9493619115264358
7,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,20.842449188232422,0.8881118881118881,0.9202898550724637,0.051093268627179486,0.9843614248479583,0.972238626040562,0.9845345471061883,0.10572649072672978,0.9605866177818515,0.9128546476107451,0.9596151019101545
8,mobilenet_evo_002,192,0.0001,0.0003,1.0,medium,20.858333826065063,0.8225806451612904,0.7391304347826086,0.04834724401749289,0.9860990443092963,0.9752124759909092,0.98624669745533,0.2484392609935577,0.918423464711274,0.8365225949519026,0.9172477019396117
