epoch,run_name,image_size,lr,weight_decay,active_brazing_boost,augmentation,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,17.743239164352417,0.4738955823293173,0.427536231884058,0.3478087709946388,0.8781928757602085,0.8231260020081433,0.8855395641494345,0.6692899122025807,0.7891842346471127,0.5716935654454084,0.7505435607145524
2,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,17.880915641784668,0.7380073800738007,0.7246376811594203,0.12015425722162482,0.969244135534318,0.9448273398393788,0.9698628068760449,0.37585633601070056,0.8918423464711274,0.7819346289192277,0.8854780207147984
3,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,17.698753356933594,0.7383720930232558,0.9202898550724637,0.08289141593085073,0.9808861859252823,0.9655604233637716,0.9811481621139704,0.3959747465002078,0.8817598533455545,0.6984424276510592,0.8604263135317248
4,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,17.892504930496216,0.7744107744107744,0.8333333333333334,0.07433196252533968,0.9814074717636837,0.9677013659597058,0.9816952957755234,0.3248652918710698,0.9019248395967002,0.792477579034611,0.8964873567824134
5,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,17.9948570728302,0.7302452316076294,0.9710144927536232,0.07484375967229065,0.9791485664639444,0.9643505459134564,0.9795046967748325,0.4119636404694474,0.8790100824931256,0.695676899082724,0.8608845377813259
6,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,17.82123064994812,0.8242811501597445,0.9347826086956522,0.05827740221296467,0.9860990443092963,0.9757436319696218,0.9862633280804696,0.2915067498539899,0.9028414298808433,0.7961928322260179,0.8949976935847425
7,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,18.04866600036621,0.7935483870967742,0.8913043478260869,0.045382427310912535,0.989748045178106,0.9811027686848331,0.9898307056725792,0.3259180531906958,0.9010082493125573,0.8046233515451182,0.8999901922256605
8,mobilenet_evo_001,128,0.0003,0.0003,1.2,low,17.99029231071472,0.824,0.7463768115942029,0.05000857013232397,0.9869678540399652,0.9760915938507368,0.9870684591982962,0.18914889563448672,0.9294225481209899,0.8635405882797865,0.9298012301763345
