epoch,run_name,image_size,lr,weight_decay,active_brazing_boost,augmentation,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.918522119522095,0.30303030303030304,0.18115942028985507,0.4830548588293309,0.8344048653344918,0.7785176456768748,0.8473425341854547,0.708320417554962,0.7030247479376719,0.3164554372810729,0.6047191486496547
2,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.983737468719482,0.75,0.6521739130434783,0.12734394157896034,0.9643788010425717,0.937929297815556,0.9652308662317592,0.283492959987997,0.9110907424381302,0.8336280696825931,0.9043730052306379
3,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.917182683944702,0.7924528301886793,0.7608695652173914,0.08463041816945702,0.9756733275412685,0.9575407955013852,0.9760580872973854,0.172919590726126,0.9413382218148487,0.8676183158717525,0.9396605477262724
4,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,21.048844814300537,0.8012618296529969,0.9202898550724637,0.06898941998697694,0.98123370981755,0.9664780586205197,0.9814865502114042,0.22702266243700447,0.9303391384051329,0.8437339543503477,0.9295887023666759
5,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,21.03302764892578,0.7785234899328859,0.8405797101449275,0.05886929357565169,0.9854039965247611,0.973306100937854,0.9855243220514063,0.2020786464556635,0.9340054995417049,0.8496192089362883,0.9325543488003235
6,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.962660551071167,0.7337662337662337,0.8188405797101449,0.04475131706459259,0.9895742832319722,0.9807437442691338,0.9896247115245842,0.25138851157735304,0.9028414298808433,0.8110689265931201,0.9080929913119973
7,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.758513927459717,0.6920980926430518,0.9202898550724637,0.03695547257827293,0.9900955690703735,0.9821629382990594,0.9901577762565178,0.3363159996488129,0.8927589367552704,0.7715826287303169,0.8929529288139344
8,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,21.129027605056763,0.75,0.9347826086956522,0.029307484937055792,0.9927019982623806,0.9863778931792867,0.9927451354102743,0.23439702124594805,0.9092575618698442,0.8070789552738797,0.9098575831297431
9,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.828490257263184,0.7355623100303952,0.8768115942028986,0.022093599331690618,0.9951346655082537,0.9908664360608047,0.9951478271005547,0.2656572214376837,0.9074243813015582,0.8200111455787435,0.9105280468872258
10,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.830816745758057,0.7392550143266475,0.9347826086956522,0.024580443209339803,0.9947871416159861,0.990029359172593,0.9948136277870679,0.28877113900085705,0.9083409715857012,0.7940525834468806,0.9058843017272179
11,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.803338527679443,0.7005649717514124,0.8985507246376812,0.019810550262363422,0.9954821894005212,0.9918656299371048,0.9954896020977883,0.286697654836678,0.8872593950504125,0.7844735076048459,0.8932846920807418
12,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.83338499069214,0.7692307692307693,0.9057971014492754,0.017741305572664498,0.9953084274543875,0.9917503813555195,0.995331261531755,0.23625430709499512,0.923006416131989,0.8346677972327717,0.9231755432838233
13,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.8616361618042,0.7335243553008596,0.927536231884058,0.01348280385015233,0.9970460469157254,0.9943832010055316,0.997048471011096,0.2658632887358966,0.9083409715857012,0.8047144584059327,0.9081742415614636
14,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.840540885925293,0.7947882736156352,0.8840579710144928,0.014117579285110421,0.9963509991311903,0.9935988097368973,0.9963613430313464,0.20999798875369408,0.9349220898258478,0.8575075406596151,0.9343100536612969
15,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,21.028740167617798,0.7492795389048992,0.9420289855072463,0.015112121188187798,0.996524761077324,0.9938703970370802,0.9965310157887959,0.2682778952557057,0.9138405132905592,0.8025839219512223,0.9101256105304633
16,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.82342219352722,0.7781155015197568,0.927536231884058,0.01149142035218417,0.9972198088618592,0.9950971074367274,0.9972284198098872,0.23626827217072316,0.9248395967002749,0.8399908623529047,0.9255973809045578
17,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.80814003944397,0.7396449704142012,0.9057971014492754,0.008752668698315876,0.9973935708079931,0.9954943938099319,0.9974029757675651,0.2441623973911515,0.9120073327222732,0.8221038402308365,0.9139998438989269
18,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.95729684829712,0.7272727272727273,0.927536231884058,0.010852674439680021,0.9975673327541269,0.9955991780936585,0.9975706499373026,0.28049676694330933,0.9046746104491292,0.8056008627795073,0.9057830384139844
19,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.773892402648926,0.7668711656441718,0.9057971014492754,0.007838667754761932,0.9984361424847958,0.9974050152080107,0.9984379722399187,0.24394351607151768,0.923006416131989,0.8263556124688244,0.9218215191344236
20,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.901752710342407,0.7682926829268293,0.9130434782608695,0.009427308606479048,0.9977410947002606,0.9960402591837707,0.9977446366256185,0.23969341979708222,0.923006416131989,0.8302985267293627,0.9222018908137195
21,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.866602182388306,0.7716049382716049,0.9057971014492754,0.0071418072583702445,0.9986099044309297,0.9974942236873886,0.9986124267396782,0.23711942426777796,0.9248395967002749,0.832469488392241,0.9242003944268544
22,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,21.098302364349365,0.7936507936507936,0.9057971014492754,0.010121607410577453,0.9958297132927889,0.9929824116713988,0.9958411017418792,0.2215539070887208,0.9330889092575618,0.8503235580513722,0.9325316814275422
23,mobilenet_evo_best_finetuned,224,0.0001,0.0003,1.2,low,20.625560998916626,0.7551622418879056,0.927536231884058,0.00991742215024228,0.9975673327541269,0.9956185038087189,0.9975720481285122,0.2621411143858767,0.9175068744271311,0.8155973890971213,0.9158051687418137
