epoch,run_name,image_size,lr,weight_decay,active_brazing_boost,augmentation,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,21.011067628860474,0.375,0.2391304347826087,0.5455101275682243,0.8251954821894005,0.7517708618654246,0.8368715927687318,0.5016619389096495,0.7919340054995417,0.5927014058242008,0.7554245002536816
2,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,20.976672172546387,0.7477477477477478,0.6014492753623188,0.1523047711865266,0.9562119895742832,0.9256265231639844,0.9576566092499373,0.24704635122963367,0.922089825847846,0.8480383126955664,0.9201200398826517
3,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,21.032048225402832,0.87248322147651,0.9420289855072463,0.11781413126688331,0.9636837532580365,0.9369796293608779,0.9647752072721684,0.17665979789406075,0.9294225481209899,0.8713121422037642,0.931765595140265
4,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,20.786048412322998,0.89198606271777,0.927536231884058,0.08337563189065374,0.9744569939183318,0.9538608163242641,0.974909784756481,0.16583552706581614,0.9550870760769936,0.9061051316549551,0.9533700064493229
5,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,21.060389041900635,0.7964601769911505,0.9782608695652174,0.07372024664728151,0.9767158992180712,0.9592795560817847,0.9770923015577758,0.201195276698941,0.928505957836847,0.8406504999425354,0.9255604595108013
6,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,21.25079894065857,0.910394265232975,0.9202898550724637,0.06750295394813104,0.9824500434404866,0.9677712420302683,0.9826684431678602,0.1458948243830587,0.9596700274977086,0.9159855909750059,0.9583590072473895
7,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,20.95993685722351,0.8561872909698997,0.927536231884058,0.05770788833096002,0.9852302345786272,0.9724967433180125,0.9853707590312758,0.16430924722929258,0.9495875343721356,0.8912345465481352,0.9489708536417045
8,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,20.9714457988739,0.8770764119601329,0.9565217391304348,0.05551433150699406,0.9857515204170286,0.975077610206301,0.985896862913415,0.2296542184679375,0.9459211732355637,0.8803789533443181,0.9411474863390852
9,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,20.988762378692627,0.8766233766233766,0.9782608695652174,0.053361141188215826,0.9871416159860991,0.9761595186567177,0.9872316961998734,0.19687010551541306,0.9450045829514208,0.8717439695335009,0.939583638034659
10,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,20.998555421829224,0.8581081081081081,0.9202898550724637,0.046319664926425946,0.9873153779322329,0.976575406871516,0.9874315699996431,0.16725288756518594,0.9422548120989918,0.8734791579516088,0.9395786335355115
11,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,20.838078260421753,0.7582417582417582,1.0,0.03404677108791515,0.9909643788010426,0.9836818575296513,0.9910275425938505,0.32312874225059074,0.9028414298808433,0.7689486361200601,0.8966352163361595
12,mobilenet_evo_best_finetuned_2,192,0.0001,0.0003,1.0,medium,21.101737022399902,0.8395061728395061,0.9855072463768116,0.028175577095715405,0.9925282363162468,0.986233604722141,0.9925829494547087,0.23533858537996627,0.9321723189734189,0.8434207179271976,0.9273918129849978
