epoch,run_name,image_size,lr,weight_decay,active_brazing_boost,augmentation,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.661877632141113,0.689419795221843,0.7318840579710145,0.6120791402513519,0.8012163336229365,0.7281330324056993,0.8161407082325042,0.38772143209122606,0.84967919340055,0.7227031059520749,0.8539592404765314
2,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.639960765838623,0.8280701754385965,0.855072463768116,0.19928582153638272,0.9437011294526498,0.9044136454136219,0.945963462698566,0.2390030163462341,0.918423464711274,0.8285068492570005,0.9136886469345908
3,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.517751932144165,0.8089887640449438,0.782608695652174,0.130799049100184,0.9628149435273675,0.9359598184746468,0.9638500565305992,0.25301924054566377,0.8872593950504125,0.8069932658142155,0.8907364621275695
4,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.464940309524536,0.8590163934426229,0.9492753623188406,0.11591880159156412,0.9652476107732406,0.939051026680405,0.9662715964205586,0.2595489537842763,0.921173235563703,0.8359277027349392,0.916191601468145
5,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.49743676185608,0.739946380697051,1.0,0.08659248704496904,0.9772371850564726,0.9605251630066538,0.977528069750114,0.3488014485585861,0.8854262144821264,0.7010497016961532,0.8660661538690346
6,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.777990579605103,0.8382838283828383,0.9202898550724637,0.07655740759224605,0.9798436142484795,0.9634540254871505,0.9801498065431961,0.28900660384906496,0.9156736938588451,0.8006352755481587,0.9024034651356992
7,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.56659197807312,0.8011869436201781,0.9782608695652174,0.07234023740299882,0.9807124239791486,0.965720855061461,0.9809699658784707,0.28590307930307496,0.9074243813015582,0.7929966325737173,0.9006369962200915
8,mobilenet_evo_011,128,0.0001,0.0001,1.0,medium,18.37052583694458,0.8414239482200647,0.9420289855072463,0.0652411501967938,0.9817549956559514,0.9675731453877556,0.9819755515035135,0.23147165481881243,0.923923006416132,0.8399579306655192,0.9200276731721769
