epoch,run_name,model_name,lr,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.103229999542236,0.6167664670658682,0.7463768115942029,0.26946244951722725,0.9139878366637706,0.8662851885312561,0.9181207880977649,0.34268352219162257,0.8368469294225481,0.7258575744772261,0.8509607591674707
2,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.51489806175232,0.75,0.9565217391304348,0.1207875113630041,0.96750651607298,0.9442335549398204,0.9683943188879962,0.21003175589729386,0.9037580201649863,0.7883286023180147,0.9036549492159375
3,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.51655650138855,0.8401253918495298,0.9710144927536232,0.09745317929263327,0.9791485664639444,0.9620544749327018,0.9793864709442539,0.18157128965794547,0.923006416131989,0.8338899230885806,0.9175304254558413
4,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.0525164604187,0.8132530120481928,0.9782608695652174,0.07426332253655281,0.9826238053866203,0.968719376657177,0.9828772035142697,0.14447884472414824,0.9266727772685609,0.8473376699667854,0.9279420688895713
5,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,56.99617266654968,0.7586206896551724,0.9565217391304348,0.06777031491635988,0.9803649000868809,0.9662725396688393,0.980677814320414,0.385741522202735,0.8689275893675527,0.7761730295566501,0.8786228343861329
6,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.52329158782959,0.8034188034188035,0.6811594202898551,0.05767736424142567,0.9852302345786272,0.9724969484592997,0.9853456826034326,0.13790784148206278,0.9431714023831348,0.8864905872779889,0.9439993103132723
7,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.20418190956116,0.7407407407407407,0.8695652173913043,0.04406665403583612,0.9902693310165074,0.9822244361461989,0.9903487298460854,0.2437302842446006,0.8982584784601283,0.7983828825789704,0.9018985849815031
8,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.55438566207886,0.8434504792332268,0.9565217391304348,0.0632887089887163,0.9840139009556907,0.9718026862530218,0.984168143511055,0.1557046363302434,0.9385884509624198,0.8742264362039703,0.9395367886608212
9,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.10230016708374,0.803347280334728,0.6956521739130435,0.041714284165424956,0.989748045178106,0.9813621406855028,0.9898183624067811,0.16419013971163537,0.9395050412465628,0.8822891968381024,0.9411408020567417
10,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.0003,57.30463695526123,0.7479674796747967,1.0,0.03341156902628345,0.9892267593397046,0.9820368932006946,0.9893217198743176,0.2615769479340491,0.8973418881759854,0.7434804682613898,0.8873591525457234
11,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.00015,57.152527809143066,0.6843853820598007,0.7463768115942029,0.04226942210726045,0.9909643788010426,0.9838554619904398,0.9910122334548898,0.5362411622371179,0.7818515123739689,0.6914161702908956,0.8069247988569591
12,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.00015,57.09629702568054,0.7158469945355191,0.9492753623188406,0.02888037928944044,0.9920069504778454,0.9857339779197302,0.9920646940921239,0.2517834535581869,0.8872593950504125,0.7583931843956605,0.8886485346428725
13,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.00015,57.24391555786133,0.7419354838709677,0.8333333333333334,0.025660409755609546,0.9927019982623806,0.9871893672683636,0.9927414554263871,0.20395926764587607,0.9065077910174152,0.8103267371096503,0.9096217213445272
14,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.00015,57.46031999588013,0.7507692307692307,0.8840579710144928,0.013273112305491996,0.9956559513466551,0.9921253199675935,0.9956742144819335,0.21330926740269102,0.9092575618698442,0.8149911079258906,0.9126553343661701
15,resnet18_10fps_active_brazing_boost_1_5,resnet18,0.00015,57.5549201965332,0.8054607508532423,0.855072463768116,0.013680509521506993,0.9956559513466551,0.9924716591881859,0.9956712189185825,0.19588043673518737,0.9312557286892759,0.8638519723638205,0.9336057191221996
16,resnet18_10fps_active_brazing_boost_1_5,resnet18,7.5e-05,57.41410994529724,0.7548387096774194,0.8478260869565217,0.019197506553217926,0.9960034752389226,0.9928601427812578,0.996008477371852,0.23557102778311018,0.9138405132905592,0.8186671298952688,0.9126818760373892
17,resnet18_10fps_active_brazing_boost_1_5,resnet18,7.5e-05,57.50261402130127,0.8,0.8840579710144928,0.013905703032242221,0.9966985230234578,0.9940190744659897,0.9967150940931817,0.18297699867121578,0.9275893675527039,0.8542900630902823,0.9291361774667344
18,resnet18_10fps_active_brazing_boost_1_5,resnet18,7.5e-05,57.09587049484253,0.8498168498168498,0.8405797101449275,0.008962157588503886,0.9980886185925283,0.9965990044241642,0.9980904047577274,0.16927782243782358,0.9450045829514208,0.8952463316611807,0.9470588762308482
19,resnet18_10fps_active_brazing_boost_1_5,resnet18,7.5e-05,56.954495906829834,0.8652482269503546,0.8840579710144928,0.00663748429758437,0.998262380538662,0.9969616710197196,0.998263583952049,0.17080978684834358,0.9477543538038496,0.9004796590067455,0.9493134177116552
20,resnet18_10fps_active_brazing_boost_1_5,resnet18,7.5e-05,56.96750092506409,0.8065573770491803,0.8913043478260869,0.0046026501631357955,0.9986099044309297,0.9977175919961098,0.998611702761933,0.18934050037851685,0.928505957836847,0.856515727856723,0.9296126379389088
