epoch,run_name,model_name,lr,epoch_time_s,val_active_brazing_f1,val_active_brazing_recall,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,94.53993964195251,0.5460526315789473,0.6014492753623188,0.33767789277069266,0.8882710686359687,0.8316528605516817,0.8933774558886404,0.5503821401554544,0.8120989917506874,0.5557273360420047,0.7906452954456168
2,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.83729100227356,0.6059113300492611,0.8913043478260869,0.12357104453804388,0.9650738488271069,0.940546181308783,0.9661647110969239,0.598000741048885,0.8368469294225481,0.6966497831163274,0.8457193816030061
3,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.672961711883545,0.4946236559139785,1.0,0.08633907303654247,0.9767158992180712,0.9579193280026481,0.977088146744676,0.8822491945827757,0.6993583868011,0.6287965625785296,0.7376169525210857
4,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.46897315979004,0.6006191950464397,0.7028985507246377,0.07868816433498696,0.9819287576020851,0.9665547676337781,0.9821113385879267,0.4032191363589975,0.8579285059578369,0.703016493547449,0.8635277570888397
5,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.481345415115356,0.5972850678733032,0.9565217391304348,0.06910630798502967,0.9833188531711555,0.9690297879940872,0.9835544960471545,0.609857558929069,0.8047662694775435,0.6769745312835723,0.820949393573361
6,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.46939826011658,0.7096774193548387,0.8768115942028986,0.0581607973424768,0.9848827106863597,0.9723773022161345,0.9850438933168446,0.4829104529181318,0.8900091659028414,0.7754788950216969,0.8915000729923334
7,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.26764249801636,0.7164179104477612,0.8695652173913043,0.045847951087916186,0.9848827106863597,0.9732736981717032,0.9850917782406133,0.45623231840898903,0.8955087076076994,0.7826471536061554,0.8978986489340618
8,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.72276329994202,0.6149425287356322,0.7753623188405797,0.04964612234694532,0.9878366637706343,0.9773759035261039,0.9879522860883708,0.5623522663130504,0.8560953253895509,0.7054030013328491,0.8614371901117148
9,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.24159502983093,0.6428571428571429,0.8478260869565217,0.04531530538245349,0.989748045178106,0.9815569038734703,0.9897944064206172,0.4728837439662826,0.8615948670944088,0.7226139678847807,0.8673661225898176
10,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,56.773425579071045,0.7311178247734139,0.8768115942028986,0.03488681724685026,0.991485664639444,0.9839074360530811,0.9915335350019521,0.3307907526966197,0.9010082493125573,0.7934514300138948,0.9040080230862814
11,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.23919177055359,0.6327944572748267,0.9927536231884058,0.04145067458928641,0.9904430929626412,0.9824495036462201,0.9904813968462531,0.4835211080665413,0.8359303391384051,0.6112347078606326,0.8234857343280148
12,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.74733304977417,0.5362903225806451,0.9637681159420289,0.024488740506623228,0.9937445699391834,0.9885466166366703,0.9937675844948828,1.098105951457671,0.7717690192483959,0.5296510000822867,0.7654359997766588
13,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.37677192687988,0.6059113300492611,0.8913043478260869,0.030930156409408698,0.9923544743701129,0.9854703661361929,0.9923770095313882,0.778463933192125,0.8359303391384051,0.6945676758158524,0.8454097444994186
14,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.0003,57.59927201271057,0.6505376344086021,0.8768115942028986,0.03187536594237838,0.9923544743701129,0.9861566667717363,0.9923926737670774,0.40726444088461566,0.843263061411549,0.6235846913552938,0.8286394767334297
15,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.00015,57.627254247665405,0.6896551724137931,0.8695652173913043,0.039527977269052245,0.9895742832319722,0.980882229115212,0.989688429413814,0.34885818836972354,0.8826764436296975,0.7535222418152313,0.8857626870938113
16,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.00015,57.68500876426697,0.7386363636363636,0.9420289855072463,0.018045910420547605,0.9951346655082537,0.9910526953085387,0.9951570986633272,0.4453392949504293,0.8973418881759854,0.7936314090268363,0.9004588147373537
17,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.00015,57.899765968322754,0.7377521613832853,0.927536231884058,0.011351761453426755,0.996524761077324,0.9936993591884475,0.9965390584202344,0.5166635166893259,0.8982584784601283,0.7952321061464049,0.9015151669286534
18,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.00015,57.803990602493286,0.6649214659685864,0.9202898550724637,0.014984763096979568,0.9961772371850565,0.9929307224366639,0.9961862138165887,0.7513328981996015,0.8625114573785518,0.714082846690831,0.8646627651593314
19,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.00015,57.51502275466919,0.6633663366336634,0.9710144927536232,0.01567640413796581,0.9947871416159861,0.991039583118131,0.9948214223834745,0.904424411501236,0.8588450962419798,0.7025983589228001,0.859677675585291
20,mobilenet_v3_small_10fps_balanced,mobilenet_v3_small,0.00015,57.220311403274536,0.6063348416289592,0.9710144927536232,0.012420595812618968,0.9968722849695917,0.9946842790844369,0.9968766176252164,1.2671040134779845,0.8221814848762603,0.7063544157285845,0.8373160574155779
