feature,full_normalized_separation,full_stage_mean_range,roi_normalized_separation,roi_stage_mean_range,roi_gain
brightness_mean,0.8656154893054004,3.5632312401564548,1.71427294202427,15.165469924618776,1.9804092731749305
value_mean,0.8980887494481339,3.9511006932600026,1.700564499141125,16.98816105887599,1.8935372480571704
edge_density,0.5332446114722302,0.0009281260248624468,1.3722211339850472,0.008192643909985246,2.5733427107617537
specular_highlight_ratio,0.7414186606102521,0.01580751159963012,1.3416922114669956,0.09359113913750305,1.809628328430075
laplacian_var,0.4457927660913575,0.9608833413704012,1.3082462829374841,8.31120336390142,2.9346512156488913
white_area_ratio,0.5773831561029618,0.02259872869468227,1.266289156960004,0.0913966765529991,2.1931522310190035
frame_diff_score,1.2775895700349738,1.1272628042535142,0.9750888461491031,3.2508159268640213,0.7632254278049642
saturation_mean,0.16918504612765536,1.3446722816511212,0.26341499966797854,2.0515632242268964,1.5569638434192568
